GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
442454	6.36e-118	4.25e-122	0.1621	23.4982566	3.81014785	123.04	UQCRBP1	ubiquinol-cytochrome c reductase binding protein pseudogene 1
106635682	3.24e-43	4.33e-47	0.1983	14.4122959	2.8584782	91.72	SNORD140	small nucleolar RNA, C/D box 140
23048	5.15e-42	1.03e-45	0.0829	-14.1915887	-1.17696781	419.82	FNBP1	formin binding protein 1
101927682	1.47e-39	4.86e-43	0.1885	-13.7533545	-2.59286898	132.72	CD81-AS1	CD81 antisense RNA 1
9578	1.47e-39	4.92e-43	0.0738	-13.7524695	-1.01466676	1019.71	CDC42BPB	CDC42 binding protein kinase beta
6993	1.80e-37	7.21e-41	0.0964	13.3869092	1.29063829	319.98	DYNLT1	dynein light chain Tctex-type 1
414212	3.14e-37	1.47e-40	0.1495	-13.3340212	-1.99370242	84.87	GLUD1P2	glutamate dehydrogenase 1 pseudogene 2
23428	1.31e-36	7.03e-40	0.1546	-13.2166973	-2.04293651	177.91	SLC7A8	solute carrier family 7 member 8
1675	6.35e-36	3.82e-39	0.3145	-13.0887122	-4.11662594	122.37	CFD	complement factor D
2498	1.13e-35	7.58e-39	0.1388	13.0365287	1.80941357	177.84	FTH1P3	ferritin heavy chain 1 pseudogene 3
113219467	3.47e-35	2.55e-38	0.2728	12.9436007	3.53070303	29074.48	MIR12136	microRNA 12136
1378	4.10e-33	3.29e-36	0.2803	-12.5649119	-3.52208383	79.36	CR1	complement C3b/C4b receptor 1 (Knops blood group)
10409	1.27e-32	1.10e-35	0.1588	-12.4689714	-1.97989451	156.33	BASP1	brain abundant membrane attached signal protein 1
9332	1.58e-31	1.48e-34	0.2201	-12.2604702	-2.698358	1500.91	CD163	CD163 molecule
146956	8.59e-31	8.62e-34	0.1414	12.1166745	1.71337937	60.5	EME1	essential meiotic structure-specific endonuclease 1
4574	8.81e-31	9.43e-34	0.2741	12.1093201	3.31959588	11736.83	TRNS1	tRNA-Ser
53829	9.53e-31	1.08e-33	0.1843	-12.0979528	-2.2298457	75.56	P2RY13	purinergic receptor P2Y13
2350	1.84e-30	2.22e-33	0.1855	-12.0390058	-2.23273953	243.38	FOLR2	folate receptor beta
7412	5.19e-30	6.59e-33	0.2315	-11.9488099	-2.76661367	471.03	VCAM1	vascular cell adhesion molecule 1
390732	1.07e-29	1.43e-32	0.1654	11.8842693	1.96551393	1474.54	CES1P2	carboxylesterase 1 pseudogene 2
124842	3.57e-29	5.01e-32	0.2398	-11.7789061	-2.82487004	26.88	TMEM132E	transmembrane protein 132E
100616124	5.36e-29	7.88e-32	0.1985	11.7406812	2.33110958	19.31	MIR4647	microRNA 4647
105379193	9.05e-29	1.39e-31	0.1481	-11.6925658	-1.73141573	99.02	LOC105379193	uncharacterized LOC105379193
10990	2.34e-28	3.75e-31	0.1843	-11.6081163	-2.13994405	172.22	LILRB5	leukocyte immunoglobulin like receptor B5
221184	2.98e-28	4.98e-31	0.0956	-11.5836967	-1.10692146	166.81	CPNE2	copine 2
107984754	4.11e-28	7.15e-31	0.2693	11.552764	3.11077808	77.4	LOC107984754	
6397	4.51e-28	8.14e-31	0.1147	-11.5416165	-1.32367596	467.61	SEC14L1	SEC14 like lipid binding 1
473	4.61e-28	8.63e-31	0.091	-11.5365624	-1.04952396	469.98	RERE	arginine-glutamic acid dipeptide repeats
51065	8.94e-28	1.73e-30	0.1013	11.4764232	1.16256118	666.62	RPS27L	ribosomal protein S27 like
403313	1.97e-27	3.95e-30	0.0836	11.405038	0.95301067	203.8	PLPP6	phospholipid phosphatase 6
6133	2.15e-27	4.45e-30	0.127	11.3945568	1.44763077	3886.26	RPL9	ribosomal protein L9
4566	2.42e-27	5.18e-30	0.2712	11.3813807	3.08668538	90.96	TRNK	tRNA-Lys
10537	2.76e-27	6.09e-30	0.3217	11.3671652	3.65724783	225.34	UBD	ubiquitin D
285855	5.88e-27	1.34e-29	0.0514	11.2983243	0.58111339	865.94	RPL7L1	ribosomal protein L7 like 1
84832	5.98e-27	1.40e-29	0.2883	-11.2943797	-3.25668599	21.45	ANKRD36BP1	ankyrin repeat domain 36B pseudogene 1
6497	9.19e-27	2.21e-29	0.0983	-11.2541004	-1.1058665	898.38	SKI	SKI proto-oncogene
6614	1.57e-26	3.89e-29	0.2014	-11.2041837	-2.25658114	283.9	SIGLEC1	sialic acid binding Ig like lectin 1
245802	2.01e-26	5.10e-29	0.3938	-11.1801854	-4.40268997	16.4	MS4A6E	membrane spanning 4-domains A6E
378	2.57e-26	6.70e-29	0.0935	11.1558572	1.04357973	1013.97	ARF4	ADP ribosylation factor 4
91937	3.64e-26	1.02e-28	0.3312	-11.1184036	-3.68206016	149.05	TIMD4	T cell immunoglobulin and mucin domain containing 4
493860	3.64e-26	9.81e-29	0.1291	11.1219744	1.4359874	121.44	CCDC73	coiled-coil domain containing 73
6205	3.64e-26	1.02e-28	0.0748	11.1187797	0.83178441	5884.56	RPS11	ribosomal protein S11
2324	4.66e-26	1.34e-28	0.1786	-11.0941897	-1.9816025	193.44	FLT4	fms related receptor tyrosine kinase 4
