GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
442454	1.10e-80	7.22e-85	0.1917	19.52145	3.7428867	127.72	UQCRBP1	ubiquinol-cytochrome c reductase binding protein pseudogene 1
101927682	8.76e-72	1.15e-75	0.1615	-18.407328	-2.9721986	130.59	CD81-AS1	CD81 antisense RNA 1
106635682	9.81e-67	1.93e-70	0.1726	17.743721	3.062797	111.76	SNORD140	small nucleolar RNA, C/D box 140
10537	2.44e-48	6.39e-52	0.2734	15.16117	4.145029	332.87	UBD	ubiquitin D
23048	3.90e-43	1.28e-46	0.079	-14.337391	-1.1324498	440.99	FNBP1	formin binding protein 1
414212	2.82e-42	1.11e-45	0.139	-14.186632	-1.9719843	88.71	GLUD1P2	glutamate dehydrogenase 1 pseudogene 2
53834	1.79e-40	8.57e-44	0.1071	-13.878368	-1.4865317	1026.29	FGFRL1	fibroblast growth factor receptor like 1
6993	1.79e-40	9.39e-44	0.1088	13.871819	1.509923	382.66	DYNLT1	dynein light chain Tctex-type 1
9540	1.42e-39	8.39e-43	0.2379	13.713829	3.2626658	138.42	TP53I3	tumor protein p53 inducible protein 3
1837	8.24e-39	5.40e-42	0.2755	13.578119	3.7406717	50.85	DTNA	dystrobrevin alpha
107984754	5.98e-38	4.31e-41	0.2715	13.425124	3.6451446	117.14	LOC107984754	
8685	2.00e-37	1.57e-40	0.2138	-13.328918	-2.849666	1188.5	MARCO	macrophage receptor with collagenous structure
1378	2.08e-37	1.77e-40	0.2726	-13.320064	-3.630785	80.37	CR1	complement C3b/C4b receptor 1 (Knops blood group)
7412	9.38e-37	8.61e-40	0.1804	-13.201452	-2.3811526	503.65	VCAM1	vascular cell adhesion molecule 1
401565	5.35e-36	5.25e-39	0.1899	13.064469	2.480941	84.71	FAM166A	family with sequence similarity 166 member A
100616124	7.91e-35	8.29e-38	0.1964	12.852805	2.5237858	24.12	MIR4647	microRNA 4647
8848	1.99e-34	2.22e-37	0.1138	12.776609	1.4538047	975.58	TSC22D1	TSC22 domain family member 1
