GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
374378	0.00687	8.68e-07	0.1673	4.919458	0.8230705	123.58	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18
1837	0.00687	9.69e-07	0.2848	4.897753	1.3950095	43.59	DTNA	dystrobrevin alpha
771	0.00705	2.70e-06	0.5086	4.692366	2.3863079	20.48	CA12	carbonic anhydrase 12
116285	0.00705	2.68e-06	0.4636	4.693669	2.1760595	21.03	ACSM1	acyl-CoA synthetase medium chain family member 1
111089941	0.00705	1.87e-06	0.1448	-4.766714	-0.6904158	368.16	MMP24-AS1-EDEM2	MMP24-AS1-EDEM2 readthrough
2719	0.00705	2.98e-06	0.435	4.671917	2.0321126	20.1	GPC3	glypican 3
1307	0.0114	5.63e-06	0.3036	4.539899	1.378216	32.21	COL16A1	collagen type XVI alpha 1 chain
10402	0.01207	7.92e-06	0.127	-4.467424	-0.5675506	463.66	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
4060	0.01207	9.18e-06	0.1612	4.435555	0.7149669	258.64	LUM	lumican
4313	0.01207	9.36e-06	0.2029	4.431373	0.8992318	122.49	MMP2	matrix metallopeptidase 2
9902	0.01207	9.06e-06	0.2357	4.438484	1.04637	135.8	MRC2	mannose receptor C type 2
9358	0.01242	1.05e-05	0.3131	4.406317	1.3797836	34.02	ITGBL1	integrin subunit beta like 1
10319	0.0137	1.26e-05	0.2773	4.367573	1.2111935	94.14	LAMC3	laminin subunit gamma 3
541471	0.01641	1.92e-05	0.2566	4.274303	1.0969987	17.96	MIR4435-2HG	MIR4435-2 host gene
151887	0.01641	1.96e-05	0.3257	4.269372	1.3903607	109.05	CCDC80	coiled-coil domain containing 80
7070	0.01641	1.97e-05	0.2835	4.268458	1.2100799	90.13	THY1	Thy-1 cell surface antigen
4493	0.01641	1.86e-05	0.2494	-4.28068	-1.0677604	3511.9	MT1E	metallothionein 1E
1278	0.01984	2.52e-05	0.233	4.213036	0.9817265	1131.79	COL1A2	collagen type I alpha 2 chain
57007	0.02451	3.52e-05	0.3298	4.136724	1.3642017	26.79	ACKR3	atypical chemokine receptor 3
4601	0.02451	3.42e-05	0.1345	-4.143467	-0.5571962	390.71	MXI1	MAX interactor 1, dimerization protein
57834	0.02451	3.63e-05	0.1043	-4.129814	-0.4305602	1056.52	CYP4F11	cytochrome P450 family 4 subfamily F member 11
4143	0.0302	4.69e-05	0.1247	-4.070705	-0.5076255	18416.3	MAT1A	methionine adenosyltransferase 1A
54951	0.0313	5.08e-05	0.1256	4.05203	0.5088841	61.02	COMMD8	COMM domain containing 8
127435	0.03277	6.00e-05	0.2305	4.012633	0.9247265	114.8	PODN	podocan
144571	0.03277	5.63e-05	0.3351	4.027693	1.3498341	963.09	A2M-AS1	A2M antisense RNA 1
101927745	0.03277	6.01e-05	0.6398	4.012432	2.5670408	38.03	LOC101927745	uncharacterized LOC101927745
10544	0.03723	7.09e-05	0.2061	3.973227	0.8187329	36.73	PROCR	protein C receptor
84179	0.0405	8.68e-05	0.267	3.92473	1.0477069	69.99	SLC49A3	solute carrier family 49 member 3
84171	0.0405	8.68e-05	0.3485	3.924897	1.3676714	48.18	LOXL4	lysyl oxidase like 4
3762	0.0405	8.86e-05	0.3264	3.919984	1.2795522	13.35	KCNJ5	potassium inwardly rectifying channel subfamily J member 5
1277	0.0405	8.33e-05	0.347	3.934841	1.3653176	1548.47	COL1A1	collagen type I alpha 1 chain
7058	0.04753	1.07e-04	0.2662	3.873521	1.0310125	125.29	THBS2	thrombospondin 2
4501	0.04973	1.16e-04	0.2357	-3.854955	-0.9084914	3297.57	MT1X	metallothionein 1X
161198	0.0522	1.25e-04	0.1488	3.835729	0.5706263	109.13	CLEC14A	C-type lectin domain containing 14A
5361	0.05622	1.39e-04	0.2341	3.810315	0.8920255	57.58	PLXNA1	plexin A1
165	0.05747	1.46e-04	0.2267	3.797885	0.8610403	456.88	AEBP1	AE binding protein 1
3752	0.05844	1.62e-04	0.1231	-3.771472	-0.4641607	533.84	KCND3	potassium voltage-gated channel subfamily D member 3
2934	0.05844	1.63e-04	0.193	3.770404	0.7278132	409.62	GSN	gelsolin
1289	0.05844	1.65e-04	0.2647	3.767509	0.9970951	265.99	COL5A1	collagen type V alpha 1 chain
116236	0.05844	1.55e-04	0.0822	-3.782338	-0.3109472	538.99	ABHD15	abhydrolase domain containing 15
116842	0.06303	1.82e-04	0.1576	3.742368	0.5898021	1973.86	LEAP2	liver enriched antimicrobial peptide 2
84886	0.06373	1.89e-04	0.1727	3.733564	0.6448641	98.85	C1orf198	chromosome 1 open reading frame 198
1462	0.06375	1.93e-04	0.3028	3.727548	1.1285171	47.14	VCAN	versican
55224	0.06956	2.16e-04	0.155	-3.699664	-0.5733286	2380.93	ETNK2	ethanolamine kinase 2
10457	0.07192	2.33e-04	0.2929	3.679877	1.077736	325.81	GPNMB	glycoprotein nmb
312	0.07192	2.33e-04	0.3405	3.679863	1.2531103	88.3	ANXA13	annexin A13
4053	0.07234	2.40e-04	0.2621	3.672898	0.9628194	94.63	LTBP2	latent transforming growth factor beta binding protein 2
84441	0.07337	2.48e-04	0.222	3.663875	0.8132513	33.89	MAML2	mastermind like transcriptional coactivator 2
9509	0.07486	2.59e-04	0.1821	3.653434	0.6653064	130.78	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
83875	0.07679	2.76e-04	0.2249	-3.636613	-0.8179575	383.08	BCO2	beta-carotene oxygenase 2
259232	0.07679	2.76e-04	0.3083	3.637139	1.1212557	12.45	NALCN	sodium leak channel, non-selective
5010	0.07696	2.82e-04	0.3754	3.631045	1.3631135	31.38	CLDN11	claudin 11
9289	0.09233	3.45e-04	0.2827	3.578798	1.0116652	19.56	ADGRG1	adhesion G protein-coupled receptor G1
255743	0.09542	3.63e-04	0.3193	3.565277	1.1385707	33.13	NPNT	nephronectin
56521	0.09678	3.75e-04	0.1407	-3.556749	-0.5003056	182.7	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
3490	0.1061	4.19e-04	0.2087	3.527745	0.7363303	608.73	IGFBP7	insulin like growth factor binding protein 7
150280	0.11465	4.61e-04	0.2558	-3.502469	-0.895762	13.59	HORMAD2	HORMA domain containing 2
55219	0.11769	4.88e-04	0.0894	-3.487472	-0.3116873	666.14	MACO1	macoilin 1
54913	0.11769	4.98e-04	0.1934	3.481775	0.6732678	42.62	RPP25	ribonuclease P and MRP subunit p25
729993	0.11769	4.92e-04	0.2394	-3.484969	-0.8344513	45.29	SHISA9	shisa family member 9
1805	0.12015	5.25e-04	0.2723	3.467436	0.9442043	145.31	DPT	dermatopontin
2259	0.12015	5.22e-04	0.3109	3.469426	1.0786917	38.84	FGF14	fibroblast growth factor 14
54361	0.1267	5.63e-04	0.404	3.448818	1.3934211	17.44	WNT4	Wnt family member 4
834	0.14229	6.49e-04	0.1536	3.410164	0.5236956	104.76	CASP1	caspase 1
90141	0.14229	6.52e-04	0.1495	3.408853	0.5095845	53.16	EFCAB11	EF-hand calcium binding domain 11
4131	0.14722	6.85e-04	0.4131	3.395359	1.4027747	68.74	MAP1B	microtubule associated protein 1B
221504	0.15142	7.43e-04	0.1173	-3.373136	-0.3956686	55.29	ZBTB9	zinc finger and BTB domain containing 9
