GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
11075	4.12e-18	2.27e-22	0.3507	9.729053	3.4124183	36.25	STMN2	stathmin 2
84171	3.35e-12	5.48e-16	0.1923	8.100248	1.5574425	136.82	LOXL4	lysyl oxidase like 4
9358	3.35e-12	5.52e-16	0.1851	8.099404	1.4993215	100.46	ITGBL1	integrin subunit beta like 1
4053	1.93e-11	4.24e-15	0.1503	7.847669	1.1791997	145.58	LTBP2	latent transforming growth factor beta binding protein 2
105372061	4.34e-11	1.19e-14	0.2236	7.716785	1.7256933	20.02	LOC105372061	uncharacterized LOC105372061
1837	9.00e-11	2.97e-14	0.1882	7.599636	1.430569	156.74	DTNA	dystrobrevin alpha
2191	1.46e-10	6.29e-14	0.2493	7.501803	1.8705424	14.24	FAP	fibroblast activation protein alpha
221416	1.46e-10	6.40e-14	0.4402	7.499583	3.3014774	27.63	LINC03040	long intergenic non-protein coding RNA 3040
51330	2.87e-10	1.42e-13	0.1613	7.394508	1.193013	115.37	TNFRSF12A	TNF receptor superfamily member 12A
7058	1.28e-09	7.06e-13	0.1468	7.178318	1.0538969	239.89	THBS2	thrombospondin 2
200373	1.31e-09	8.64e-13	0.1701	7.150578	1.2162252	43.94	CFAP221	cilia and flagella associated protein 221
7070	1.31e-09	8.53e-13	0.1956	7.152438	1.3992809	159.53	THY1	Thy-1 cell surface antigen
6364	5.37e-09	3.84e-12	0.2768	6.942966	1.9220614	20.8	CCL20	C-C motif chemokine ligand 20
25984	6.18e-09	4.75e-12	0.3426	6.91279	2.3683809	15.87	KRT23	keratin 23
1278	8.47e-09	6.98e-12	0.1251	6.858073	0.8582243	1163.9	COL1A2	collagen type I alpha 2 chain
10158	1.28e-08	1.12e-11	0.2502	6.789825	1.6987022	46.58	PDZK1IP1	PDZK1 interacting protein 1
57016	1.40e-08	1.31e-11	0.2916	6.76804	1.9737657	977.45	AKR1B10	aldo-keto reductase family 1 member B10
26002	1.90e-08	1.99e-11	0.2242	6.706861	1.5037545	40.92	MOXD1	monooxygenase DBH like 1
5154	1.90e-08	1.97e-11	0.1437	6.70844	0.9641835	90.72	PDGFA	platelet derived growth factor subunit A
55959	2.27e-08	2.50e-11	0.068	6.673437	0.4534646	1822.66	SULF2	sulfatase 2
6659	2.67e-08	3.09e-11	0.1424	6.642387	0.9461941	76.41	SOX4	SRY-box transcription factor 4
3576	3.57e-08	4.31e-11	0.2482	6.592886	1.636205	22.68	CXCL8	C-X-C motif chemokine ligand 8
196051	5.17e-08	6.53e-11	0.1344	6.531033	0.8776972	25.88	PLPP4	phospholipid phosphatase 4
4316	5.70e-08	7.52e-11	0.2372	6.509811	1.5438038	49.54	MMP7	matrix metallopeptidase 7
2259	9.46e-08	1.30e-10	0.1857	6.42725	1.1935077	130.89	FGF14	fibroblast growth factor 14
54361	9.76e-08	1.39e-10	0.1714	6.416453	1.0995964	25.7	WNT4	Wnt family member 4
2564	1.23e-07	1.83e-10	0.1746	6.375309	1.1128302	195.99	GABRE	gamma-aminobutyric acid type A receptor subunit epsilon
302	1.87e-07	2.88e-10	0.1024	6.305074	0.6458142	2384.3	ANXA2	annexin A2
27163	2.12e-07	3.38e-10	0.0583	-6.280214	-0.3658991	1076.65	NAAA	N-acylethanolamine acid amidase
7057	2.27e-07	3.74e-10	0.1305	6.264671	0.8176031	545.52	THBS1	thrombospondin 1
441282	2.94e-07	5.01e-10	0.3005	6.218875	1.8685269	49.94	AKR1B15	aldo-keto reductase family 1 member B15
191	3.22e-07	5.67e-10	0.0528	-6.199433	-0.3276202	3938.08	AHCY	adenosylhomocysteinase
10954	3.57e-07	6.47e-10	0.0526	-6.178532	-0.3249674	1612.9	PDIA5	protein disulfide isomerase family A member 5
