GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
442454	2.51e-113	1.60e-117	0.1634	23.046404	3.7660741	141	UQCRBP1	ubiquinol-cytochrome c reductase binding protein pseudogene 1
23048	1.05e-68	1.34e-72	0.0645	-18.020896	-1.1616776	333.79	FNBP1	formin binding protein 1
101927682	7.03e-66	1.34e-69	0.1581	-17.634289	-2.7877942	87.53	CD81-AS1	CD81 antisense RNA 1
106635682	4.20e-64	1.07e-67	0.1702	17.385113	2.9582871	111.88	SNORD140	small nucleolar RNA, C/D box 140
414212	2.35e-56	7.49e-60	0.1219	-16.316863	-1.9892919	61.72	GLUD1P2	glutamate dehydrogenase 1 pseudogene 2
6993	3.79e-48	1.45e-51	0.0926	15.107345	1.3993936	356.24	DYNLT1	dynein light chain Tctex-type 1
113219467	7.44e-47	3.32e-50	0.2247	14.899567	3.3472637	30090.96	MIR12136	microRNA 12136
10537	5.92e-45	3.02e-48	0.2686	14.595098	3.9205525	314.5	UBD	ubiquitin D
245802	7.43e-44	4.26e-47	0.2699	-14.413415	-3.8899141	10.44	MS4A6E	membrane spanning 4-domains A6E
4574	2.38e-42	1.52e-45	0.2241	14.164682	3.1739043	12391.96	TRNS1	tRNA-Ser
100616124	2.85e-41	2.00e-44	0.1735	13.98224	2.425444	23.41	MIR4647	microRNA 4647
9578	7.89e-39	6.03e-42	0.076	-13.569971	-1.0314036	817.06	CDC42BPB	CDC42 binding protein kinase beta
388524	1.60e-38	1.32e-41	0.0859	13.512391	1.1606415	482.88	RPSA2	ribosomal protein SA 2
6497	2.92e-38	2.60e-41	0.0841	-13.462377	-1.1326502	708.95	SKI	SKI proto-oncogene
4802	1.69e-37	1.61e-40	0.0636	-13.327047	-0.8469879	294.83	NFYC	nuclear transcription factor Y subunit gamma
9540	2.86e-37	2.92e-40	0.2236	13.282591	2.9703092	123.31	TP53I3	tumor protein p53 inducible protein 3
4511	9.08e-37	9.84e-40	0.3183	13.191373	4.1985264	15201.31	TRNC	tRNA-Cys
83439	1.45e-36	1.66e-39	0.115	-13.151967	-1.512964	85.93	TCF7L1	transcription factor 7 like 1
10440	4.45e-36	5.38e-39	0.0949	13.062633	1.2393413	563.64	TIMM17A	translocase of inner mitochondrial membrane 17A
105377700	1.36e-35	1.73e-38	0.3129	12.973587	4.05941	18.63	LOC105377700	uncharacterized LOC105377700
401565	1.84e-35	2.46e-38	0.1837	12.946479	2.3785926	83.61	FAM166A	family with sequence similarity 166 member A
8848	2.61e-35	3.66e-38	0.1139	12.91595	1.4712935	977.38	TSC22D1	TSC22 domain family member 1
7412	6.17e-35	9.04e-38	0.1995	-12.84616	-2.5631852	329.03	VCAM1	vascular cell adhesion molecule 1
53829	1.82e-34	2.79e-37	0.1704	-12.758776	-2.1741246	53.91	P2RY13	purinergic receptor P2Y13
107984754	3.69e-34	5.87e-37	0.2677	12.700541	3.4005254	108.21	LOC107984754	
146956	9.33e-34	1.55e-36	0.1427	12.624553	1.8016747	68.18	EME1	essential meiotic structure-specific endonuclease 1
