nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000000003.16	NA	brown
ENSG00000001084.13	NA	brown
ENSG00000001561.7	NA	brown
ENSG00000001629.10	NA	brown
ENSG00000001631.17	NA	brown
ENSG00000002586.20	NA	brown
ENSG00000003393.16	NA	brown
ENSG00000003436.16	NA	brown
ENSG00000004766.17	NA	brown
ENSG00000004897.12	NA	brown
ENSG00000005175.10	NA	brown
ENSG00000005249.14	NA	brown
ENSG00000005486.17	NA	brown
ENSG00000005812.11	NA	brown
ENSG00000005893.17	NA	brown
ENSG00000006451.8	NA	brown
ENSG00000006459.11	NA	brown
ENSG00000006576.17	NA	brown
ENSG00000006634.8	NA	brown
ENSG00000006638.13	NA	brown
ENSG00000007168.14	NA	brown
ENSG00000008282.10	NA	brown
ENSG00000008838.21	NA	brown
ENSG00000008952.17	NA	brown
ENSG00000009413.17	NA	brown
ENSG00000009844.16	NA	brown
ENSG00000010072.16	NA	brown
ENSG00000010244.19	NA	brown
ENSG00000011114.15	NA	brown
ENSG00000011198.10	NA	brown
ENSG00000011258.16	NA	brown
ENSG00000011478.13	NA	brown
ENSG00000011566.15	NA	brown
ENSG00000012211.13	NA	brown
ENSG00000012983.12	NA	brown
ENSG00000013375.17	NA	brown
ENSG00000013561.18	NA	brown
ENSG00000013810.21	NA	brown
ENSG00000014824.14	NA	brown
ENSG00000015153.15	NA	brown
ENSG00000015171.21	NA	brown
ENSG00000015479.20	NA	brown
ENSG00000018408.15	NA	brown
ENSG00000018510.18	NA	brown
ENSG00000019991.18	NA	brown
ENSG00000020129.16	NA	brown
ENSG00000021574.14	NA	brown
ENSG00000022840.17	NA	brown
ENSG00000023041.12	NA	brown
ENSG00000023287.13	NA	brown
ENSG00000023318.9	NA	brown
ENSG00000023572.10	NA	brown
ENSG00000023734.11	NA	brown
ENSG00000023902.14	NA	brown
ENSG00000023909.10	NA	brown
ENSG00000025156.13	NA	brown
ENSG00000025796.14	NA	brown
ENSG00000026103.25	NA	brown
ENSG00000027847.14	NA	brown
ENSG00000028839.10	NA	brown
ENSG00000029363.17	NA	brown
ENSG00000030419.17	NA	brown
ENSG00000031003.11	NA	brown
ENSG00000031691.7	NA	brown
ENSG00000032219.19	NA	brown
ENSG00000032742.18	NA	brown
ENSG00000033100.17	NA	brown
ENSG00000033178.13	NA	brown
ENSG00000033800.14	NA	brown
ENSG00000033867.17	NA	brown
ENSG00000034677.13	NA	brown
ENSG00000034693.15	NA	brown
ENSG00000035687.10	NA	brown
ENSG00000036054.13	NA	brown
ENSG00000036257.14	NA	brown
ENSG00000036549.13	NA	brown
ENSG00000038210.14	NA	brown
ENSG00000038274.18	NA	brown
ENSG00000038358.15	NA	brown
ENSG00000040487.13	NA	brown
ENSG00000043093.15	NA	brown
ENSG00000044459.15	NA	brown
ENSG00000047188.16	NA	brown
ENSG00000047346.13	NA	brown
ENSG00000047365.13	NA	brown
ENSG00000047634.15	NA	brown
ENSG00000047932.14	NA	brown
ENSG00000048392.13	NA	brown
ENSG00000048405.11	NA	brown
ENSG00000048544.6	NA	brown
ENSG00000049130.16	NA	brown
ENSG00000049167.16	NA	brown
ENSG00000049245.13	NA	brown
ENSG00000049883.15	NA	brown
ENSG00000050130.18	NA	brown
ENSG00000051382.9	NA	brown
ENSG00000051825.15	NA	brown
ENSG00000052723.12	NA	brown
ENSG00000053770.12	NA	brown
ENSG00000054611.14	NA	brown
ENSG00000055147.19	NA	brown
ENSG00000055208.20	NA	brown
ENSG00000055211.14	NA	brown
ENSG00000055332.19	NA	brown
ENSG00000055917.17	NA	brown
ENSG00000056277.16	NA	brown
ENSG00000057019.16	NA	brown
ENSG00000057608.17	NA	brown
ENSG00000057663.16	NA	brown
ENSG00000058091.17	NA	brown
ENSG00000058272.19	NA	brown
ENSG00000058729.11	NA	brown
ENSG00000058804.12	NA	brown
ENSG00000059122.17	NA	brown
ENSG00000059758.8	NA	brown
ENSG00000060339.14	NA	brown
ENSG00000060749.17	NA	brown
ENSG00000061273.18	NA	brown
ENSG00000061794.13	NA	brown
ENSG00000061987.16	NA	brown
ENSG00000062194.16	NA	brown
ENSG00000062524.16	NA	brown
ENSG00000062650.20	NA	brown
ENSG00000062716.13	NA	brown
ENSG00000062725.10	NA	brown
ENSG00000063244.14	NA	brown
ENSG00000064102.15	NA	brown
ENSG00000064687.13	NA	brown
ENSG00000064726.10	NA	brown
ENSG00000065029.15	NA	brown
ENSG00000065135.12	NA	brown
ENSG00000065243.20	NA	brown
ENSG00000065413.20	NA	brown
ENSG00000065548.18	NA	brown
ENSG00000065615.14	NA	brown
ENSG00000065809.14	NA	brown
ENSG00000066084.13	NA	brown
ENSG00000066136.21	NA	brown
ENSG00000066279.19	NA	brown
ENSG00000066422.7	NA	brown
ENSG00000066557.6	NA	brown
ENSG00000066583.12	NA	brown
ENSG00000066654.14	NA	brown
ENSG00000066855.16	NA	brown
ENSG00000067167.8	NA	brown
ENSG00000067606.17	NA	brown
ENSG00000067829.20	NA	brown
ENSG00000067955.15	NA	brown
ENSG00000068305.19	NA	brown
ENSG00000068323.17	NA	brown
ENSG00000068394.11	NA	brown
ENSG00000068400.14	NA	brown
ENSG00000068697.7	NA	brown
ENSG00000068796.19	NA	brown
ENSG00000068912.15	NA	brown
ENSG00000069275.13	NA	brown
ENSG00000069345.12	NA	brown
ENSG00000069667.16	NA	brown
ENSG00000069943.10	NA	brown
ENSG00000069974.17	NA	brown
ENSG00000069998.12	NA	brown
ENSG00000070366.14	NA	brown
ENSG00000070367.16	NA	brown
ENSG00000070950.10	NA	brown
ENSG00000071243.16	NA	brown
ENSG00000071537.14	NA	brown
ENSG00000071553.18	NA	brown
ENSG00000072364.13	NA	brown
ENSG00000072401.15	NA	brown
ENSG00000072756.18	NA	brown
ENSG00000073050.12	NA	brown
ENSG00000073584.20	NA	brown
ENSG00000073921.18	NA	brown
ENSG00000074266.23	NA	brown
ENSG00000074603.19	NA	brown
ENSG00000074695.6	NA	brown
ENSG00000075089.10	NA	brown
ENSG00000075303.13	NA	brown
ENSG00000075711.21	NA	brown
ENSG00000075790.12	NA	brown
ENSG00000075945.13	NA	brown
ENSG00000076053.12	NA	brown
ENSG00000076554.16	NA	brown
ENSG00000076770.16	NA	brown
ENSG00000077044.11	NA	brown
ENSG00000077147.16	NA	brown
ENSG00000077232.19	NA	brown
ENSG00000077235.18	NA	brown
ENSG00000077238.14	NA	brown
ENSG00000077254.14	NA	brown
