nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000027075.17	NA	darkgreen
ENSG00000048052.25	NA	darkgreen
ENSG00000048740.19	NA	darkgreen
ENSG00000064763.12	NA	darkgreen
ENSG00000064989.13	NA	darkgreen
ENSG00000069122.19	NA	darkgreen
ENSG00000079819.20	NA	darkgreen
ENSG00000081189.17	NA	darkgreen
ENSG00000081237.21	NA	darkgreen
ENSG00000081320.11	NA	darkgreen
ENSG00000082074.19	NA	darkgreen
ENSG00000085491.17	NA	darkgreen
ENSG00000087253.13	NA	darkgreen
ENSG00000099250.18	NA	darkgreen
ENSG00000100596.8	NA	darkgreen
ENSG00000101367.9	NA	darkgreen
ENSG00000102755.13	NA	darkgreen
ENSG00000104763.20	NA	darkgreen
ENSG00000105851.11	NA	darkgreen
ENSG00000105967.16	NA	darkgreen
ENSG00000109586.12	NA	darkgreen
ENSG00000111961.19	NA	darkgreen
ENSG00000113532.13	NA	darkgreen
ENSG00000114450.11	NA	darkgreen
ENSG00000115232.14	NA	darkgreen
ENSG00000115762.17	NA	darkgreen
ENSG00000115935.19	NA	darkgreen
ENSG00000116711.10	NA	darkgreen
ENSG00000117020.19	NA	darkgreen
ENSG00000118407.15	NA	darkgreen
ENSG00000120156.22	NA	darkgreen
ENSG00000120279.7	NA	darkgreen
ENSG00000120594.17	NA	darkgreen
ENSG00000125810.10	NA	darkgreen
ENSG00000126860.12	NA	darkgreen
ENSG00000127329.16	NA	darkgreen
ENSG00000127951.8	NA	darkgreen
ENSG00000129675.16	NA	darkgreen
ENSG00000131016.17	NA	darkgreen
ENSG00000133574.10	NA	darkgreen
ENSG00000133789.15	NA	darkgreen
ENSG00000134954.14	NA	darkgreen
ENSG00000136869.16	NA	darkgreen
ENSG00000137033.12	NA	darkgreen
ENSG00000137462.9	NA	darkgreen
ENSG00000139278.10	NA	darkgreen
ENSG00000140030.6	NA	darkgreen
ENSG00000140575.13	NA	darkgreen
ENSG00000143079.15	NA	darkgreen
ENSG00000144815.18	NA	darkgreen
ENSG00000144959.11	NA	darkgreen
ENSG00000145416.14	NA	darkgreen
ENSG00000145730.21	NA	darkgreen
ENSG00000145779.8	NA	darkgreen
ENSG00000150637.9	NA	darkgreen
ENSG00000150681.10	NA	darkgreen
ENSG00000150867.14	NA	darkgreen
ENSG00000153071.15	NA	darkgreen
ENSG00000154127.10	NA	darkgreen
ENSG00000154451.15	NA	darkgreen
ENSG00000155962.13	NA	darkgreen
ENSG00000157827.20	NA	darkgreen
ENSG00000162407.9	NA	darkgreen
ENSG00000162618.15	NA	darkgreen
ENSG00000162654.9	NA	darkgreen
ENSG00000162739.14	NA	darkgreen
ENSG00000163513.19	NA	darkgreen
ENSG00000163565.20	NA	darkgreen
ENSG00000163606.11	NA	darkgreen
ENSG00000163762.7	NA	darkgreen
ENSG00000164125.16	NA	darkgreen
ENSG00000164619.10	NA	darkgreen
ENSG00000165434.8	NA	darkgreen
ENSG00000168497.5	NA	darkgreen
ENSG00000169554.23	NA	darkgreen
ENSG00000169744.13	NA	darkgreen
ENSG00000171488.15	NA	darkgreen
ENSG00000171659.16	NA	darkgreen
ENSG00000175471.20	NA	darkgreen
ENSG00000177409.12	NA	darkgreen
ENSG00000181104.7	NA	darkgreen
ENSG00000183023.19	NA	darkgreen
ENSG00000184384.15	NA	darkgreen
ENSG00000185010.15	NA	darkgreen
ENSG00000185477.5	NA	darkgreen
ENSG00000185811.21	NA	darkgreen
ENSG00000185862.7	NA	darkgreen
ENSG00000186469.9	NA	darkgreen
ENSG00000188921.14	NA	darkgreen
ENSG00000189056.15	NA	darkgreen
ENSG00000196932.12	NA	darkgreen
ENSG00000197872.11	NA	darkgreen
ENSG00000205413.8	NA	darkgreen
ENSG00000260314.3	NA	darkgreen
