nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000008988.11	NA	darkorange
ENSG00000071082.11	NA	darkorange
ENSG00000089009.16	NA	darkorange
ENSG00000089157.16	NA	darkorange
ENSG00000100216.6	NA	darkorange
ENSG00000100316.16	NA	darkorange
ENSG00000109475.17	NA	darkorange
ENSG00000110700.7	NA	darkorange
ENSG00000112306.8	NA	darkorange
ENSG00000112695.13	NA	darkorange
ENSG00000114391.14	NA	darkorange
ENSG00000114942.14	NA	darkorange
ENSG00000116251.11	NA	darkorange
ENSG00000118181.11	NA	darkorange
ENSG00000122026.11	NA	darkorange
ENSG00000122406.14	NA	darkorange
ENSG00000123349.15	NA	darkorange
ENSG00000125691.14	NA	darkorange
ENSG00000131469.15	NA	darkorange
ENSG00000134419.15	NA	darkorange
ENSG00000137038.8	NA	darkorange
ENSG00000137154.13	NA	darkorange
ENSG00000138085.18	NA	darkorange
ENSG00000138326.21	NA	darkorange
ENSG00000142676.14	NA	darkorange
ENSG00000142937.12	NA	darkorange
ENSG00000143947.15	NA	darkorange
ENSG00000144713.13	NA	darkorange
ENSG00000145425.10	NA	darkorange
ENSG00000145592.14	NA	darkorange
ENSG00000147604.14	NA	darkorange
ENSG00000148303.17	NA	darkorange
ENSG00000156482.11	NA	darkorange
ENSG00000161970.15	NA	darkorange
ENSG00000166441.13	NA	darkorange
ENSG00000168028.15	NA	darkorange
ENSG00000168653.11	NA	darkorange
ENSG00000169567.13	NA	darkorange
ENSG00000171863.15	NA	darkorange
ENSG00000172809.13	NA	darkorange
ENSG00000174748.22	NA	darkorange
ENSG00000177410.13	NA	darkorange
ENSG00000177954.14	NA	darkorange
ENSG00000182774.13	NA	darkorange
ENSG00000182899.17	NA	darkorange
ENSG00000186468.13	NA	darkorange
ENSG00000188846.14	NA	darkorange
ENSG00000196683.12	NA	darkorange
ENSG00000198242.14	NA	darkorange
ENSG00000198918.8	NA	darkorange
ENSG00000204628.12	NA	darkorange
ENSG00000213741.11	NA	darkorange
ENSG00000213920.9	NA	darkorange
ENSG00000214046.9	NA	darkorange
ENSG00000232112.3	NA	darkorange
ENSG00000241343.10	NA	darkorange
ENSG00000254772.10	NA	darkorange
ENSG00000265681.8	NA	darkorange
