nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000004776.13	NA	lightcyan
ENSG00000005884.18	NA	lightcyan
ENSG00000007384.15	NA	lightcyan
ENSG00000011028.14	NA	lightcyan
ENSG00000019144.20	NA	lightcyan
ENSG00000020181.18	NA	lightcyan
ENSG00000024422.12	NA	lightcyan
ENSG00000050165.19	NA	lightcyan
ENSG00000050555.19	NA	lightcyan
ENSG00000065357.20	NA	lightcyan
ENSG00000070404.10	NA	lightcyan
ENSG00000074181.9	NA	lightcyan
ENSG00000076716.9	NA	lightcyan
ENSG00000077942.19	NA	lightcyan
ENSG00000082014.17	NA	lightcyan
ENSG00000084207.18	NA	lightcyan
ENSG00000084636.18	NA	lightcyan
ENSG00000087116.17	NA	lightcyan
ENSG00000087245.13	NA	lightcyan
ENSG00000089472.18	NA	lightcyan
ENSG00000096433.11	NA	lightcyan
ENSG00000099994.11	NA	lightcyan
ENSG00000099998.19	NA	lightcyan
ENSG00000100767.17	NA	lightcyan
ENSG00000100968.14	NA	lightcyan
ENSG00000101955.15	NA	lightcyan
ENSG00000103196.12	NA	lightcyan
ENSG00000105137.13	NA	lightcyan
ENSG00000105270.15	NA	lightcyan
ENSG00000105472.14	NA	lightcyan
ENSG00000105643.11	NA	lightcyan
ENSG00000106624.11	NA	lightcyan
ENSG00000107317.13	NA	lightcyan
ENSG00000107731.12	NA	lightcyan
ENSG00000108797.12	NA	lightcyan
ENSG00000108821.14	NA	lightcyan
ENSG00000109099.16	NA	lightcyan
ENSG00000109113.20	NA	lightcyan
ENSG00000110237.5	NA	lightcyan
ENSG00000110811.20	NA	lightcyan
ENSG00000111341.10	NA	lightcyan
ENSG00000112655.16	NA	lightcyan
ENSG00000112936.21	NA	lightcyan
ENSG00000113657.13	NA	lightcyan
ENSG00000113758.14	NA	lightcyan
ENSG00000115380.20	NA	lightcyan
ENSG00000116260.17	NA	lightcyan
ENSG00000117525.14	NA	lightcyan
ENSG00000119280.17	NA	lightcyan
ENSG00000119630.14	NA	lightcyan
ENSG00000119681.12	NA	lightcyan
ENSG00000122176.12	NA	lightcyan
ENSG00000122861.16	NA	lightcyan
ENSG00000124216.4	NA	lightcyan
ENSG00000124225.16	NA	lightcyan
ENSG00000129009.13	NA	lightcyan
ENSG00000130635.17	NA	lightcyan
ENSG00000132688.11	NA	lightcyan
ENSG00000134871.19	NA	lightcyan
ENSG00000137077.8	NA	lightcyan
ENSG00000137507.11	NA	lightcyan
ENSG00000138031.15	NA	lightcyan
ENSG00000138131.4	NA	lightcyan
ENSG00000139329.5	NA	lightcyan
ENSG00000140092.16	NA	lightcyan
ENSG00000140545.16	NA	lightcyan
ENSG00000140678.17	NA	lightcyan
ENSG00000141756.20	NA	lightcyan
ENSG00000143196.5	NA	lightcyan
ENSG00000154096.14	NA	lightcyan
ENSG00000155254.13	NA	lightcyan
ENSG00000157368.12	NA	lightcyan
ENSG00000162458.13	NA	lightcyan
ENSG00000162576.17	NA	lightcyan
ENSG00000162878.13	NA	lightcyan
ENSG00000163359.17	NA	lightcyan
ENSG00000163453.11	NA	lightcyan
ENSG00000163520.14	NA	lightcyan
ENSG00000163531.17	NA	lightcyan
ENSG00000163909.8	NA	lightcyan
ENSG00000164107.9	NA	lightcyan
ENSG00000164294.14	NA	lightcyan
ENSG00000164692.19	NA	lightcyan
ENSG00000165124.19	NA	lightcyan
ENSG00000166145.15	NA	lightcyan
ENSG00000166147.15	NA	lightcyan
ENSG00000166482.12	NA	lightcyan
ENSG00000167123.20	NA	lightcyan
ENSG00000167191.12	NA	lightcyan
ENSG00000167779.9	NA	lightcyan
ENSG00000168268.11	NA	lightcyan
ENSG00000168542.17	NA	lightcyan
ENSG00000170004.19	NA	lightcyan
ENSG00000171345.13	NA	lightcyan
ENSG00000172638.13	NA	lightcyan
ENSG00000174348.14	NA	lightcyan
ENSG00000174807.4	NA	lightcyan
ENSG00000176454.15	NA	lightcyan
ENSG00000176463.14	NA	lightcyan
ENSG00000177469.13	NA	lightcyan
ENSG00000182195.9	NA	lightcyan
ENSG00000182580.3	NA	lightcyan
ENSG00000182836.11	NA	lightcyan
ENSG00000183853.18	NA	lightcyan
ENSG00000184347.16	NA	lightcyan
ENSG00000184584.14	NA	lightcyan
ENSG00000186340.17	NA	lightcyan
ENSG00000187634.13	NA	lightcyan
ENSG00000187955.13	NA	lightcyan
ENSG00000188783.6	NA	lightcyan
ENSG00000196569.14	NA	lightcyan
ENSG00000196924.19	NA	lightcyan
ENSG00000197380.11	NA	lightcyan
ENSG00000197457.10	NA	lightcyan
ENSG00000197956.10	NA	lightcyan
ENSG00000198467.16	NA	lightcyan
ENSG00000198542.15	NA	lightcyan
ENSG00000198832.11	NA	lightcyan
ENSG00000213977.8	NA	lightcyan
ENSG00000214357.9	NA	lightcyan
ENSG00000237172.4	NA	lightcyan
ENSG00000240771.8	NA	lightcyan
