nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000000971.17	NA	lightgreen
ENSG00000003989.18	NA	lightgreen
ENSG00000004700.16	NA	lightgreen
ENSG00000004864.14	NA	lightgreen
ENSG00000005700.15	NA	lightgreen
ENSG00000006062.18	NA	lightgreen
ENSG00000006194.11	NA	lightgreen
ENSG00000006712.15	NA	lightgreen
ENSG00000006715.16	NA	lightgreen
ENSG00000007202.16	NA	lightgreen
ENSG00000007866.22	NA	lightgreen
ENSG00000008294.22	NA	lightgreen
ENSG00000009307.17	NA	lightgreen
ENSG00000010704.19	NA	lightgreen
ENSG00000011405.14	NA	lightgreen
ENSG00000012174.12	NA	lightgreen
ENSG00000012660.14	NA	lightgreen
ENSG00000013503.10	NA	lightgreen
ENSG00000014123.10	NA	lightgreen
ENSG00000017260.20	NA	lightgreen
ENSG00000021776.11	NA	lightgreen
ENSG00000021826.18	NA	lightgreen
ENSG00000023228.14	NA	lightgreen
ENSG00000023516.9	NA	lightgreen
ENSG00000025293.17	NA	lightgreen
ENSG00000025434.19	NA	lightgreen
ENSG00000028116.18	NA	lightgreen
ENSG00000028203.19	NA	lightgreen
ENSG00000029364.12	NA	lightgreen
ENSG00000029725.17	NA	lightgreen
ENSG00000030066.14	NA	lightgreen
ENSG00000033050.9	NA	lightgreen
ENSG00000034152.20	NA	lightgreen
ENSG00000035928.17	NA	lightgreen
ENSG00000037042.9	NA	lightgreen
ENSG00000037749.13	NA	lightgreen
ENSG00000039123.16	NA	lightgreen
ENSG00000039319.17	NA	lightgreen
ENSG00000040341.18	NA	lightgreen
ENSG00000046604.14	NA	lightgreen
ENSG00000047315.17	NA	lightgreen
ENSG00000047457.14	NA	lightgreen
ENSG00000048028.12	NA	lightgreen
ENSG00000048649.14	NA	lightgreen
ENSG00000048828.18	NA	lightgreen
ENSG00000052126.17	NA	lightgreen
ENSG00000052795.13	NA	lightgreen
ENSG00000053254.16	NA	lightgreen
ENSG00000054148.18	NA	lightgreen
ENSG00000054523.20	NA	lightgreen
ENSG00000054983.17	NA	lightgreen
ENSG00000055483.20	NA	lightgreen
ENSG00000056097.16	NA	lightgreen
ENSG00000056586.16	NA	lightgreen
ENSG00000057252.13	NA	lightgreen
ENSG00000058063.16	NA	lightgreen
ENSG00000059915.17	NA	lightgreen
ENSG00000060237.19	NA	lightgreen
ENSG00000061676.16	NA	lightgreen
ENSG00000063761.16	NA	lightgreen
ENSG00000064012.24	NA	lightgreen
ENSG00000064042.18	NA	lightgreen
ENSG00000064313.13	NA	lightgreen
ENSG00000064490.14	NA	lightgreen
ENSG00000064666.15	NA	lightgreen
ENSG00000065060.18	NA	lightgreen
ENSG00000065150.21	NA	lightgreen
ENSG00000065183.16	NA	lightgreen
ENSG00000065534.20	NA	lightgreen
ENSG00000065559.15	NA	lightgreen
ENSG00000065613.15	NA	lightgreen
ENSG00000066455.13	NA	lightgreen
ENSG00000066777.9	NA	lightgreen
ENSG00000067208.17	NA	lightgreen
ENSG00000067248.11	NA	lightgreen
ENSG00000067704.10	NA	lightgreen
ENSG00000067836.13	NA	lightgreen
ENSG00000067840.13	NA	lightgreen
ENSG00000067900.9	NA	lightgreen
ENSG00000067992.17	NA	lightgreen
ENSG00000068028.18	NA	lightgreen
ENSG00000068120.15	NA	lightgreen
ENSG00000068308.15	NA	lightgreen
ENSG00000068784.13	NA	lightgreen
ENSG00000068878.15	NA	lightgreen
ENSG00000068971.14	NA	lightgreen
ENSG00000069248.12	NA	lightgreen
ENSG00000069399.15	NA	lightgreen
ENSG00000069431.14	NA	lightgreen
ENSG00000069702.11	NA	lightgreen
ENSG00000069869.17	NA	lightgreen
ENSG00000069956.14	NA	lightgreen
ENSG00000070018.9	NA	lightgreen
ENSG00000070961.17	NA	lightgreen
ENSG00000071189.21	NA	lightgreen
ENSG00000071794.16	NA	lightgreen
ENSG00000071859.15	NA	lightgreen
ENSG00000072415.10	NA	lightgreen
ENSG00000072803.18	NA	lightgreen
ENSG00000072818.12	NA	lightgreen
ENSG00000073614.13	NA	lightgreen
ENSG00000073712.15	NA	lightgreen
ENSG00000073849.16	NA	lightgreen
ENSG00000073969.19	NA	lightgreen
ENSG00000074696.13	NA	lightgreen
ENSG00000075420.13	NA	lightgreen
ENSG00000075651.17	NA	lightgreen
ENSG00000076321.11	NA	lightgreen
ENSG00000076513.17	NA	lightgreen
ENSG00000077097.17	NA	lightgreen
ENSG00000077312.9	NA	lightgreen
ENSG00000078142.14	NA	lightgreen
ENSG00000078177.15	NA	lightgreen
ENSG00000079387.15	NA	lightgreen
ENSG00000080561.14	NA	lightgreen
ENSG00000081377.17	NA	lightgreen
ENSG00000081803.17	NA	lightgreen
ENSG00000081923.15	NA	lightgreen
ENSG00000082212.13	NA	lightgreen
ENSG00000082805.21	NA	lightgreen
ENSG00000084234.18	NA	lightgreen
ENSG00000084674.15	NA	lightgreen
ENSG00000084676.16	NA	lightgreen
ENSG00000085563.15	NA	lightgreen
ENSG00000086200.17	NA	lightgreen
ENSG00000086827.9	NA	lightgreen
ENSG00000087077.14	NA	lightgreen
ENSG00000087191.14	NA	lightgreen
ENSG00000087299.12	NA	lightgreen
ENSG00000087301.9	NA	lightgreen
ENSG00000087365.16	NA	lightgreen
ENSG00000088205.13	NA	lightgreen
ENSG00000088387.22	NA	lightgreen
ENSG00000088808.18	NA	lightgreen
ENSG00000088812.18	NA	lightgreen
ENSG00000088881.22	NA	lightgreen
ENSG00000088930.8	NA	lightgreen
ENSG00000089050.16	NA	lightgreen
ENSG00000089692.9	NA	lightgreen
ENSG00000090097.22	NA	lightgreen
ENSG00000090612.22	NA	lightgreen
ENSG00000090615.16	NA	lightgreen
ENSG00000090971.5	NA	lightgreen
ENSG00000091157.15	NA	lightgreen
ENSG00000091436.17	NA	lightgreen
ENSG00000092094.11	NA	lightgreen
ENSG00000092148.14	NA	lightgreen
ENSG00000092871.17	NA	lightgreen
ENSG00000092929.13	NA	lightgreen
ENSG00000093100.13	NA	lightgreen
ENSG00000094880.11	NA	lightgreen
ENSG00000095002.15	NA	lightgreen
ENSG00000095139.15	NA	lightgreen
ENSG00000095209.12	NA	lightgreen
ENSG00000095261.14	NA	lightgreen
ENSG00000096401.8	NA	lightgreen
ENSG00000096654.16	NA	lightgreen
ENSG00000097096.10	NA	lightgreen
ENSG00000099219.15	NA	lightgreen
ENSG00000099330.9	NA	lightgreen
ENSG00000099899.16	NA	lightgreen
ENSG00000099999.15	NA	lightgreen
ENSG00000100030.15	NA	lightgreen
ENSG00000100105.18	NA	lightgreen
ENSG00000100124.15	NA	lightgreen
ENSG00000100360.15	NA	lightgreen
ENSG00000100416.15	NA	lightgreen
ENSG00000100445.18	NA	lightgreen
ENSG00000100485.12	NA	lightgreen
ENSG00000100503.27	NA	lightgreen
ENSG00000100644.17	NA	lightgreen
ENSG00000100731.16	NA	lightgreen
ENSG00000100784.12	NA	lightgreen
ENSG00000100802.15	NA	lightgreen
ENSG00000100815.12	NA	lightgreen
ENSG00000100883.13	NA	lightgreen
ENSG00000100934.15	NA	lightgreen
ENSG00000101109.13	NA	lightgreen
ENSG00000101189.7	NA	lightgreen
ENSG00000101266.19	NA	lightgreen
ENSG00000101361.17	NA	lightgreen
ENSG00000101421.4	NA	lightgreen
ENSG00000101457.13	NA	lightgreen
ENSG00000101460.13	NA	lightgreen
ENSG00000101966.14	NA	lightgreen
ENSG00000101972.20	NA	lightgreen
ENSG00000101981.12	NA	lightgreen
ENSG00000102024.19	NA	lightgreen
ENSG00000102030.16	NA	lightgreen
ENSG00000102038.16	NA	lightgreen
ENSG00000102103.18	NA	lightgreen
ENSG00000102158.22	NA	lightgreen
ENSG00000102218.6	NA	lightgreen
ENSG00000102221.14	NA	lightgreen
ENSG00000102531.16	NA	lightgreen
ENSG00000102699.6	NA	lightgreen
ENSG00000102763.18	NA	lightgreen
ENSG00000102871.16	NA	lightgreen
ENSG00000102893.18	NA	lightgreen
ENSG00000103145.11	NA	lightgreen
ENSG00000103275.21	NA	lightgreen
ENSG00000103994.18	NA	lightgreen
ENSG00000104129.10	NA	lightgreen
ENSG00000104133.16	NA	lightgreen
ENSG00000104205.16	NA	lightgreen
ENSG00000104320.15	NA	lightgreen
ENSG00000104635.15	NA	lightgreen
ENSG00000104731.14	NA	lightgreen
ENSG00000104824.18	NA	lightgreen
ENSG00000104881.16	NA	lightgreen
ENSG00000104915.15	NA	lightgreen
ENSG00000104960.15	NA	lightgreen
ENSG00000104976.13	NA	lightgreen
ENSG00000105552.15	NA	lightgreen
ENSG00000105619.14	NA	lightgreen
ENSG00000105705.16	NA	lightgreen
ENSG00000105771.14	NA	lightgreen
ENSG00000105778.20	NA	lightgreen
ENSG00000105835.13	NA	lightgreen
ENSG00000105856.14	NA	lightgreen
ENSG00000105939.14	NA	lightgreen
ENSG00000106034.18	NA	lightgreen
ENSG00000106077.19	NA	lightgreen
ENSG00000106246.18	NA	lightgreen
ENSG00000106608.17	NA	lightgreen
ENSG00000106692.15	NA	lightgreen
ENSG00000106771.13	NA	lightgreen
ENSG00000106804.10	NA	lightgreen
ENSG00000107036.12	NA	lightgreen
ENSG00000107186.17	NA	lightgreen
ENSG00000107290.14	NA	lightgreen
ENSG00000107518.18	NA	lightgreen
ENSG00000107581.14	NA	lightgreen
ENSG00000107651.15	NA	lightgreen
ENSG00000107669.19	NA	lightgreen
ENSG00000107771.17	NA	lightgreen
ENSG00000107798.18	NA	lightgreen
ENSG00000107897.20	NA	lightgreen
ENSG00000108055.11	NA	lightgreen
ENSG00000108395.14	NA	lightgreen
ENSG00000108406.10	NA	lightgreen
ENSG00000108506.14	NA	lightgreen
ENSG00000108582.12	NA	lightgreen
ENSG00000108588.15	NA	lightgreen
ENSG00000108733.11	NA	lightgreen
ENSG00000108946.17	NA	lightgreen
ENSG00000109065.12	NA	lightgreen
ENSG00000109381.21	NA	lightgreen
ENSG00000109572.16	NA	lightgreen
ENSG00000109606.13	NA	lightgreen
ENSG00000109686.20	NA	lightgreen
ENSG00000109787.13	NA	lightgreen
ENSG00000109790.18	NA	lightgreen
ENSG00000110218.9	NA	lightgreen
ENSG00000110321.19	NA	lightgreen
ENSG00000110367.14	NA	lightgreen
ENSG00000110429.14	NA	lightgreen
ENSG00000110713.18	NA	lightgreen
ENSG00000110911.17	NA	lightgreen
ENSG00000111339.12	NA	lightgreen
ENSG00000111358.14	NA	lightgreen
ENSG00000111530.13	NA	lightgreen
ENSG00000111647.13	NA	lightgreen
ENSG00000111670.16	NA	lightgreen
ENSG00000111674.9	NA	lightgreen
ENSG00000111727.12	NA	lightgreen
ENSG00000111816.8	NA	lightgreen
ENSG00000111846.20	NA	lightgreen
ENSG00000111897.7	NA	lightgreen
ENSG00000112062.12	NA	lightgreen
ENSG00000112078.14	NA	lightgreen
ENSG00000112249.14	NA	lightgreen
ENSG00000112297.18	NA	lightgreen
ENSG00000112339.15	NA	lightgreen
ENSG00000112419.15	NA	lightgreen
ENSG00000112511.18	NA	lightgreen
ENSG00000112658.8	NA	lightgreen
ENSG00000112685.14	NA	lightgreen
ENSG00000112964.14	NA	lightgreen
ENSG00000112992.18	NA	lightgreen
ENSG00000113194.13	NA	lightgreen
ENSG00000113282.14	NA	lightgreen
ENSG00000113494.17	NA	lightgreen
ENSG00000113504.21	NA	lightgreen
ENSG00000113569.16	NA	lightgreen
ENSG00000113580.15	NA	lightgreen
ENSG00000113595.15	NA	lightgreen
ENSG00000113615.13	NA	lightgreen
ENSG00000113790.11	NA	lightgreen
ENSG00000114166.8	NA	lightgreen
ENSG00000114346.14	NA	lightgreen
ENSG00000114416.19	NA	lightgreen
ENSG00000114439.19	NA	lightgreen
ENSG00000114541.15	NA	lightgreen
ENSG00000114573.12	NA	lightgreen
ENSG00000114626.18	NA	lightgreen
ENSG00000114742.14	NA	lightgreen
ENSG00000114767.7	NA	lightgreen
ENSG00000114796.16	NA	lightgreen
ENSG00000114993.17	NA	lightgreen
ENSG00000115204.15	NA	lightgreen
ENSG00000115211.17	NA	lightgreen
ENSG00000115274.15	NA	lightgreen
ENSG00000115307.17	NA	lightgreen
ENSG00000115317.13	NA	lightgreen
ENSG00000115355.18	NA	lightgreen
ENSG00000115459.18	NA	lightgreen
ENSG00000115504.15	NA	lightgreen
ENSG00000115750.17	NA	lightgreen
ENSG00000115756.13	NA	lightgreen
ENSG00000115825.11	NA	lightgreen
ENSG00000115839.19	NA	lightgreen
ENSG00000115993.13	NA	lightgreen
ENSG00000116005.12	NA	lightgreen
ENSG00000116062.19	NA	lightgreen
ENSG00000116138.13	NA	lightgreen
ENSG00000116171.19	NA	lightgreen
ENSG00000116199.12	NA	lightgreen
ENSG00000116213.16	NA	lightgreen
ENSG00000116337.20	NA	lightgreen
ENSG00000116641.18	NA	lightgreen
ENSG00000116704.8	NA	lightgreen
ENSG00000116833.14	NA	lightgreen
ENSG00000116977.19	NA	lightgreen
ENSG00000117000.9	NA	lightgreen
ENSG00000117036.12	NA	lightgreen
ENSG00000117054.15	NA	lightgreen
ENSG00000117114.21	NA	lightgreen
ENSG00000117222.14	NA	lightgreen
ENSG00000117335.21	NA	lightgreen
ENSG00000117385.16	NA	lightgreen
ENSG00000117395.13	NA	lightgreen
ENSG00000117475.14	NA	lightgreen
ENSG00000117480.16	NA	lightgreen
ENSG00000117519.16	NA	lightgreen
ENSG00000117593.12	NA	lightgreen
