nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000000419.14	NA	lightyellow
ENSG00000041357.16	NA	lightyellow
ENSG00000056050.7	NA	lightyellow
ENSG00000059769.20	NA	lightyellow
ENSG00000081870.12	NA	lightyellow
ENSG00000087302.9	NA	lightyellow
ENSG00000091164.13	NA	lightyellow
ENSG00000100442.11	NA	lightyellow
ENSG00000100519.12	NA	lightyellow
ENSG00000100532.13	NA	lightyellow
ENSG00000100567.13	NA	lightyellow
ENSG00000100632.11	NA	lightyellow
ENSG00000100902.11	NA	lightyellow
ENSG00000101856.10	NA	lightyellow
ENSG00000106355.10	NA	lightyellow
ENSG00000107949.17	NA	lightyellow
ENSG00000109534.17	NA	lightyellow
ENSG00000111237.19	NA	lightyellow
ENSG00000111832.13	NA	lightyellow
ENSG00000114902.14	NA	lightyellow
ENSG00000116030.17	NA	lightyellow
ENSG00000116459.11	NA	lightyellow
ENSG00000117133.11	NA	lightyellow
ENSG00000118939.19	NA	lightyellow
ENSG00000119878.6	NA	lightyellow
ENSG00000120265.21	NA	lightyellow
ENSG00000120963.12	NA	lightyellow
ENSG00000122033.15	NA	lightyellow
ENSG00000122873.12	NA	lightyellow
ENSG00000125868.16	NA	lightyellow
ENSG00000125870.11	NA	lightyellow
ENSG00000126001.17	NA	lightyellow
ENSG00000127125.9	NA	lightyellow
ENSG00000128789.22	NA	lightyellow
ENSG00000129055.13	NA	lightyellow
ENSG00000129084.18	NA	lightyellow
ENSG00000130638.18	NA	lightyellow
ENSG00000131508.17	NA	lightyellow
ENSG00000132541.11	NA	lightyellow
ENSG00000132963.9	NA	lightyellow
ENSG00000134056.12	NA	lightyellow
ENSG00000135211.6	NA	lightyellow
ENSG00000136146.15	NA	lightyellow
ENSG00000136521.13	NA	lightyellow
ENSG00000137497.19	NA	lightyellow
ENSG00000137876.11	NA	lightyellow
ENSG00000138382.15	NA	lightyellow
ENSG00000140307.11	NA	lightyellow
ENSG00000140319.11	NA	lightyellow
ENSG00000143158.11	NA	lightyellow
ENSG00000144827.9	NA	lightyellow
ENSG00000145337.5	NA	lightyellow
ENSG00000145354.12	NA	lightyellow
ENSG00000147669.11	NA	lightyellow
ENSG00000147687.19	NA	lightyellow
ENSG00000149100.13	NA	lightyellow
ENSG00000151287.17	NA	lightyellow
ENSG00000156469.9	NA	lightyellow
ENSG00000161021.13	NA	lightyellow
ENSG00000162961.14	NA	lightyellow
ENSG00000163041.13	NA	lightyellow
ENSG00000163634.12	NA	lightyellow
ENSG00000163636.11	NA	lightyellow
ENSG00000164040.18	NA	lightyellow
ENSG00000164096.13	NA	lightyellow
ENSG00000164162.14	NA	lightyellow
ENSG00000164615.6	NA	lightyellow
ENSG00000165264.11	NA	lightyellow
ENSG00000165416.15	NA	lightyellow
ENSG00000165629.20	NA	lightyellow
ENSG00000167395.10	NA	lightyellow
ENSG00000168958.21	NA	lightyellow
ENSG00000169057.25	NA	lightyellow
ENSG00000169288.18	NA	lightyellow
ENSG00000169714.17	NA	lightyellow
ENSG00000170035.16	NA	lightyellow
ENSG00000170270.5	NA	lightyellow
ENSG00000170584.11	NA	lightyellow
ENSG00000170855.4	NA	lightyellow
ENSG00000171202.7	NA	lightyellow
ENSG00000172172.8	NA	lightyellow
ENSG00000174021.12	NA	lightyellow
ENSG00000175606.11	NA	lightyellow
ENSG00000176731.12	NA	lightyellow
ENSG00000182004.13	NA	lightyellow
ENSG00000183513.9	NA	lightyellow
ENSG00000183527.12	NA	lightyellow
ENSG00000184277.13	NA	lightyellow
ENSG00000185808.14	NA	lightyellow
ENSG00000187118.14	NA	lightyellow
ENSG00000188243.14	NA	lightyellow
ENSG00000188612.12	NA	lightyellow
ENSG00000188739.15	NA	lightyellow
ENSG00000198168.9	NA	lightyellow
ENSG00000203667.10	NA	lightyellow
ENSG00000203791.15	NA	lightyellow
ENSG00000214114.9	NA	lightyellow
ENSG00000214194.9	NA	lightyellow
ENSG00000225190.12	NA	lightyellow
ENSG00000230989.8	NA	lightyellow
ENSG00000232119.8	NA	lightyellow
ENSG00000232667.12	NA	lightyellow
ENSG00000243317.8	NA	lightyellow
ENSG00000272772.2	NA	lightyellow
ENSG00000289106.2	NA	lightyellow
