nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000004399.13	NA	midnightblue
ENSG00000005844.19	NA	midnightblue
ENSG00000007237.19	NA	midnightblue
ENSG00000011600.12	NA	midnightblue
ENSG00000015285.12	NA	midnightblue
ENSG00000019582.17	NA	midnightblue
ENSG00000020633.19	NA	midnightblue
ENSG00000026297.17	NA	midnightblue
ENSG00000028137.19	NA	midnightblue
ENSG00000028277.22	NA	midnightblue
ENSG00000035862.13	NA	midnightblue
ENSG00000051523.12	NA	midnightblue
ENSG00000053918.19	NA	midnightblue
ENSG00000054967.13	NA	midnightblue
ENSG00000060558.4	NA	midnightblue
ENSG00000066336.12	NA	midnightblue
ENSG00000067225.21	NA	midnightblue
ENSG00000071246.11	NA	midnightblue
ENSG00000072786.13	NA	midnightblue
ENSG00000075618.18	NA	midnightblue
ENSG00000085265.12	NA	midnightblue
ENSG00000085662.14	NA	midnightblue
ENSG00000088827.14	NA	midnightblue
ENSG00000089639.11	NA	midnightblue
ENSG00000096996.16	NA	midnightblue
ENSG00000100055.21	NA	midnightblue
ENSG00000100060.18	NA	midnightblue
ENSG00000100365.16	NA	midnightblue
ENSG00000100979.15	NA	midnightblue
ENSG00000102032.13	NA	midnightblue
ENSG00000102034.18	NA	midnightblue
ENSG00000102879.17	NA	midnightblue
ENSG00000103187.8	NA	midnightblue
ENSG00000103222.20	NA	midnightblue
ENSG00000104774.13	NA	midnightblue
ENSG00000104998.4	NA	midnightblue
ENSG00000105281.12	NA	midnightblue
ENSG00000105329.11	NA	midnightblue
ENSG00000105339.11	NA	midnightblue
ENSG00000105711.14	NA	midnightblue
ENSG00000106348.19	NA	midnightblue
ENSG00000106605.11	NA	midnightblue
ENSG00000106683.15	NA	midnightblue
ENSG00000106991.14	NA	midnightblue
ENSG00000107738.20	NA	midnightblue
ENSG00000108798.9	NA	midnightblue
ENSG00000110446.12	NA	midnightblue
ENSG00000110876.10	NA	midnightblue
ENSG00000110934.13	NA	midnightblue
ENSG00000111348.9	NA	midnightblue
ENSG00000111679.17	NA	midnightblue
ENSG00000111737.12	NA	midnightblue
ENSG00000112576.13	NA	midnightblue
ENSG00000116584.22	NA	midnightblue
ENSG00000118292.9	NA	midnightblue
ENSG00000119535.20	NA	midnightblue
ENSG00000122122.10	NA	midnightblue
ENSG00000123146.20	NA	midnightblue
ENSG00000124126.14	NA	midnightblue
ENSG00000126882.14	NA	midnightblue
ENSG00000127084.19	NA	midnightblue
ENSG00000128340.16	NA	midnightblue
ENSG00000129353.15	NA	midnightblue
ENSG00000130429.16	NA	midnightblue
ENSG00000130508.11	NA	midnightblue
ENSG00000130592.17	NA	midnightblue
ENSG00000130755.13	NA	midnightblue
ENSG00000130775.16	NA	midnightblue
ENSG00000136490.9	NA	midnightblue
ENSG00000137076.22	NA	midnightblue
ENSG00000137726.17	NA	midnightblue
ENSG00000137841.12	NA	midnightblue
ENSG00000138964.17	NA	midnightblue
ENSG00000139629.16	NA	midnightblue
ENSG00000140931.20	NA	midnightblue
ENSG00000141506.15	NA	midnightblue
ENSG00000141524.19	NA	midnightblue
ENSG00000142347.19	NA	midnightblue
ENSG00000142910.16	NA	midnightblue
ENSG00000143772.11	NA	midnightblue
ENSG00000146112.12	NA	midnightblue
ENSG00000146192.15	NA	midnightblue
ENSG00000147168.14	NA	midnightblue
ENSG00000147443.13	NA	midnightblue
ENSG00000149639.15	NA	midnightblue
ENSG00000149781.14	NA	midnightblue
ENSG00000153551.14	NA	midnightblue
ENSG00000154133.15	NA	midnightblue
ENSG00000154237.13	NA	midnightblue
ENSG00000156515.25	NA	midnightblue
ENSG00000157570.12	NA	midnightblue
ENSG00000158195.11	NA	midnightblue
ENSG00000158517.16	NA	midnightblue
ENSG00000159640.17	NA	midnightblue
ENSG00000159842.16	NA	midnightblue
ENSG00000160255.19	NA	midnightblue
ENSG00000160883.11	NA	midnightblue
ENSG00000160991.17	NA	midnightblue
ENSG00000161642.18	NA	midnightblue
ENSG00000162430.18	NA	midnightblue
ENSG00000162734.13	NA	midnightblue
ENSG00000163154.6	NA	midnightblue
ENSG00000163191.6	NA	midnightblue
ENSG00000165178.9	NA	midnightblue
ENSG00000166341.9	NA	midnightblue
ENSG00000167613.16	NA	midnightblue
ENSG00000167703.15	NA	midnightblue
ENSG00000167851.15	NA	midnightblue
ENSG00000167895.16	NA	midnightblue
ENSG00000167994.13	NA	midnightblue
ENSG00000168918.14	NA	midnightblue
ENSG00000168961.17	NA	midnightblue
ENSG00000171608.18	NA	midnightblue
ENSG00000171631.16	NA	midnightblue
ENSG00000171700.14	NA	midnightblue
ENSG00000172081.14	NA	midnightblue
ENSG00000173020.11	NA	midnightblue
ENSG00000174004.6	NA	midnightblue
ENSG00000175274.19	NA	midnightblue
ENSG00000175567.11	NA	midnightblue
ENSG00000179583.21	NA	midnightblue
ENSG00000180353.11	NA	midnightblue
ENSG00000186517.14	NA	midnightblue
ENSG00000187688.15	NA	midnightblue
ENSG00000197471.12	NA	midnightblue
ENSG00000198133.9	NA	midnightblue
ENSG00000204252.14	NA	midnightblue
ENSG00000204257.15	NA	midnightblue
ENSG00000204472.13	NA	midnightblue
ENSG00000204482.11	NA	midnightblue
ENSG00000204577.12	NA	midnightblue
ENSG00000213654.10	NA	midnightblue
ENSG00000216490.4	NA	midnightblue
ENSG00000223865.11	NA	midnightblue
ENSG00000241839.10	NA	midnightblue
