nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000170476.16	NA	saddlebrown
ENSG00000211592.8	NA	saddlebrown
ENSG00000211598.2	NA	saddlebrown
ENSG00000211644.3	NA	saddlebrown
ENSG00000211648.2	NA	saddlebrown
ENSG00000211651.3	NA	saddlebrown
ENSG00000211653.2	NA	saddlebrown
ENSG00000211660.3	NA	saddlebrown
ENSG00000211662.2	NA	saddlebrown
ENSG00000211666.2	NA	saddlebrown
ENSG00000211668.2	NA	saddlebrown
ENSG00000211673.2	NA	saddlebrown
ENSG00000211675.2	NA	saddlebrown
ENSG00000211677.2	NA	saddlebrown
ENSG00000211679.2	NA	saddlebrown
ENSG00000211893.4	NA	saddlebrown
ENSG00000211895.5	NA	saddlebrown
ENSG00000211896.7	NA	saddlebrown
ENSG00000211897.9	NA	saddlebrown
ENSG00000211938.2	NA	saddlebrown
ENSG00000211943.2	NA	saddlebrown
ENSG00000211949.3	NA	saddlebrown
ENSG00000211966.2	NA	saddlebrown
ENSG00000224373.3	NA	saddlebrown
ENSG00000239951.1	NA	saddlebrown
ENSG00000241351.3	NA	saddlebrown
ENSG00000241755.1	NA	saddlebrown
ENSG00000242076.3	NA	saddlebrown
ENSG00000243466.1	NA	saddlebrown
ENSG00000244116.3	NA	saddlebrown
ENSG00000244437.1	NA	saddlebrown
ENSG00000251546.1	NA	saddlebrown
ENSG00000254709.8	NA	saddlebrown
