nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000014216.16	NA	white
ENSG00000023191.17	NA	white
ENSG00000063660.9	NA	white
ENSG00000072958.9	NA	white
ENSG00000073060.17	NA	white
ENSG00000078808.20	NA	white
ENSG00000095321.18	NA	white
ENSG00000099817.12	NA	white
ENSG00000101997.13	NA	white
ENSG00000104980.8	NA	white
ENSG00000105221.18	NA	white
ENSG00000105229.7	NA	white
ENSG00000105669.14	NA	white
ENSG00000105671.12	NA	white
ENSG00000110057.9	NA	white
ENSG00000114650.21	NA	white
ENSG00000116786.13	NA	white
ENSG00000123064.13	NA	white
ENSG00000123933.17	NA	white
ENSG00000125912.11	NA	white
ENSG00000125970.12	NA	white
ENSG00000127580.17	NA	white
ENSG00000127948.17	NA	white
ENSG00000130193.8	NA	white
ENSG00000130881.14	NA	white
ENSG00000131408.15	NA	white
ENSG00000131748.16	NA	white
ENSG00000132394.11	NA	white
ENSG00000133243.10	NA	white
ENSG00000133275.16	NA	white
ENSG00000140564.13	NA	white
ENSG00000140688.18	NA	white
ENSG00000140854.13	NA	white
ENSG00000141564.16	NA	white
ENSG00000141959.17	NA	white
ENSG00000142186.18	NA	white
ENSG00000143761.17	NA	white
ENSG00000145217.14	NA	white
ENSG00000148334.16	NA	white
ENSG00000157637.13	NA	white
ENSG00000162337.12	NA	white
ENSG00000163956.13	NA	white
ENSG00000168936.12	NA	white
ENSG00000169223.16	NA	white
ENSG00000169682.18	NA	white
ENSG00000172531.16	NA	white
ENSG00000172725.14	NA	white
ENSG00000174851.16	NA	white
ENSG00000174903.16	NA	white
ENSG00000175221.16	NA	white
ENSG00000182858.14	NA	white
ENSG00000184216.15	NA	white
ENSG00000196365.12	NA	white
ENSG00000196961.13	NA	white
ENSG00000197150.13	NA	white
ENSG00000267059.2	NA	white
