nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000005379.17	NA	yellow
ENSG00000008128.23	NA	yellow
ENSG00000009950.16	NA	yellow
ENSG00000010270.14	NA	yellow
ENSG00000010295.20	NA	yellow
ENSG00000010322.16	NA	yellow
ENSG00000011243.19	NA	yellow
ENSG00000022976.16	NA	yellow
ENSG00000026036.23	NA	yellow
ENSG00000028310.18	NA	yellow
ENSG00000041880.15	NA	yellow
ENSG00000042062.13	NA	yellow
ENSG00000056558.11	NA	yellow
ENSG00000058453.17	NA	yellow
ENSG00000061936.10	NA	yellow
ENSG00000064607.17	NA	yellow
ENSG00000069329.19	NA	yellow
ENSG00000070476.15	NA	yellow
ENSG00000072135.13	NA	yellow
ENSG00000073605.19	NA	yellow
ENSG00000074582.15	NA	yellow
ENSG00000075399.14	NA	yellow
ENSG00000077380.16	NA	yellow
ENSG00000079277.22	NA	yellow
ENSG00000079974.19	NA	yellow
ENSG00000080815.20	NA	yellow
ENSG00000084764.12	NA	yellow
ENSG00000084774.14	NA	yellow
ENSG00000086015.23	NA	yellow
ENSG00000087087.20	NA	yellow
ENSG00000089847.13	NA	yellow
ENSG00000090539.16	NA	yellow
ENSG00000091536.20	NA	yellow
ENSG00000091592.17	NA	yellow
ENSG00000094914.14	NA	yellow
ENSG00000095397.17	NA	yellow
ENSG00000099308.13	NA	yellow
ENSG00000099326.9	NA	yellow
ENSG00000099917.17	NA	yellow
ENSG00000099949.22	NA	yellow
ENSG00000100038.20	NA	yellow
ENSG00000100083.19	NA	yellow
ENSG00000100288.20	NA	yellow
ENSG00000100813.15	NA	yellow
ENSG00000100918.14	NA	yellow
ENSG00000101104.13	NA	yellow
ENSG00000101194.18	NA	yellow
ENSG00000101343.15	NA	yellow
ENSG00000102125.17	NA	yellow
ENSG00000102878.18	NA	yellow
ENSG00000102901.13	NA	yellow
ENSG00000103168.17	NA	yellow
ENSG00000104812.15	NA	yellow
ENSG00000104852.15	NA	yellow
ENSG00000104859.15	NA	yellow
ENSG00000104907.13	NA	yellow
ENSG00000104936.20	NA	yellow
ENSG00000104957.14	NA	yellow
