Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,3395.604353,0.075168244,0.147779399,0.508651711,0.610996376,0.81488116
ENSG00000000419,1723.57098,0.062951813,0.079518904,0.791658455,0.428559853,0.689952022
ENSG00000000457,645.3220718,-0.01855138,0.112641211,-0.16469443,0.869184501,0.946967477
ENSG00000000460,247.0230103,-0.063604756,0.163108632,-0.38995334,0.696571051,0.865623146
ENSG00000000971,341.2694827,0.25441754,0.41718392,0.609845029,0.54196447,0.768907435
ENSG00000001036,5202.481125,0.0540126,0.078842217,0.685072063,0.493298448,0.735473938
ENSG00000001084,2262.828267,-0.233768378,0.099154242,-2.357623571,0.018392333,0.097649147
ENSG00000001167,3397.48491,0.230008215,0.068228955,3.37112321,0.000748624,0.008785333
ENSG00000001460,682.7610496,0.043530729,0.112899472,0.385570705,0.699814633,0.86687047
ENSG00000001461,3743.981625,-0.123875039,0.072934899,-1.698432989,0.08942607,0.278269365
ENSG00000001497,1219.82644,0.074998581,0.078963313,0.9497902,0.342218866,0.612699829
ENSG00000001561,903.5922436,0.153116592,0.136019095,1.125699244,0.260292844,0.530215506
ENSG00000001617,53.93798681,0.005321119,0.283951711,0.018739522,0.9850489,0.995065438
ENSG00000001626,6917.376927,-0.717586457,0.135083788,-5.312158219,1.08E-07,5.92E-06
ENSG00000001629,5546.314577,0.08043551,0.096451737,0.833945692,0.404311587,0.668960595
ENSG00000001630,15071.61966,0.432463454,0.175857124,2.459175066,0.013925669,0.080116804
ENSG00000001631,1678.170391,0.078189993,0.12573555,0.621860668,0.53403349,0.764191969
ENSG00000002016,636.0956882,0.153039169,0.249721403,0.612839619,0.539982392,0.767926768
ENSG00000002330,1286.210511,0.090501322,0.079569343,1.137389337,0.255375563,0.524419597
ENSG00000002549,1565.486939,-0.050966779,0.131675481,-0.387063546,0.698709165,0.866132846
ENSG00000002586,22299.38383,0.160166255,0.066921533,2.393344098,0.016695575,0.090980844
ENSG00000002587,147.379252,1.617356947,0.432224347,3.741938553,0.000182606,0.002921856
ENSG00000002726,94.68997604,0.070531383,0.21643766,0.325873891,0.74451977,0.888535512
ENSG00000002746,64.09100245,-0.243103134,0.678914974,-0.358075964,0.720286466,0.876252202
ENSG00000002822,1019.05268,-0.06396878,0.10190612,-0.627722651,0.530185644,0.760866302
ENSG00000002834,31540.47997,0.145877298,0.054158652,2.693517889,0.007070235,0.047970693
ENSG00000002919,1081.066329,0.158622866,0.076328094,2.078171435,0.037693572,0.159724792
ENSG00000002933,1930.928769,0.13691545,0.094386614,1.450581221,0.146896508,0.381397124
ENSG00000003056,5502.61925,0.105652252,0.076971972,1.372606788,0.169874621,0.415151082
ENSG00000003096,1950.222776,-0.248046509,0.158669335,-1.563292042,0.117983919,0.33182761
ENSG00000003137,133.5978048,-0.359685642,0.377550027,-0.952683396,0.340750508,0.611606009
ENSG00000003147,2836.245761,-0.075466402,0.097826685,-0.771429619,0.440452325,0.699041678
ENSG00000003249,1923.849312,0.105197823,0.159840784,0.658141311,0.510447332,0.747248234
ENSG00000003393,3519.387719,-0.099757302,0.067410602,-1.479845893,0.138914378,0.367660978
