Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,3395.604353,-0.12913212,0.147765658,-0.873898048,0.382173778,0.652235937
ENSG00000000419,1723.57098,-0.023456598,0.079427612,-0.295320455,0.767749092,0.900003265
ENSG00000000457,645.3220718,-0.011192013,0.112075899,-0.099861012,0.92045467,0.968662499
ENSG00000000460,247.0230103,-0.135998166,0.16203257,-0.839326106,0.401286337,0.667675505
ENSG00000000971,341.2694827,0.401934822,0.416667691,0.964641201,0.334724555,0.609726582
ENSG00000001036,5202.481125,0.025745982,0.078767712,0.326859593,0.743774084,0.887200915
ENSG00000001084,2262.828267,-0.112569271,0.098967,-1.137442485,0.255353355,0.52930645
ENSG00000001167,3397.48491,0.047288375,0.068265773,0.692709871,0.488491643,0.731777021
ENSG00000001460,682.7610496,-0.260855358,0.113142488,-2.305547297,0.021135941,0.121815237
ENSG00000001461,3743.981625,-0.201462051,0.072855418,-2.765230866,0.005688252,0.050295086
ENSG00000001497,1219.82644,0.002817181,0.078818947,0.035742429,0.971487739,0.98922877
ENSG00000001561,903.5922436,-0.180466086,0.136244444,-1.324575746,0.185311905,0.447406951
ENSG00000001617,53.93798681,-0.018633373,0.281335417,-0.066231878,0.947193217,0.978247226
ENSG00000001626,6917.376927,-0.576889815,0.134997006,-4.273352661,1.93E-05,0.000758448
ENSG00000001629,5546.314577,-0.109674548,0.096413446,-1.137544121,0.255310891,0.529279915
ENSG00000001630,15071.61966,0.549999631,0.175836918,3.127896223,0.001760623,0.022232698
ENSG00000001631,1678.170391,-0.235421896,0.125737547,-1.872327721,0.061161278,0.235143435
ENSG00000002016,636.0956882,-0.280893043,0.25013044,-1.122986247,0.261443336,0.535919013
ENSG00000002330,1286.210511,0.273170063,0.079003296,3.457704625,0.000544798,0.00966286
ENSG00000002549,1565.486939,0.023385481,0.13154049,0.17778162,0.858894482,0.942701445
ENSG00000002586,22299.38383,0.127002221,0.066902566,1.898316144,0.057654449,0.227801832
ENSG00000002587,147.379252,0.630270924,0.432615389,1.456885122,0.145148094,0.389727144
ENSG00000002726,94.68997604,-0.265160771,0.217818386,-1.217347977,0.223471847,0.492576674
ENSG00000002746,64.09100245,0.987421433,0.67552787,1.461703473,0.143822485,0.387647221
ENSG00000002822,1019.05268,0.202881674,0.101112913,2.006486284,0.044804391,0.196484401
ENSG00000002834,31540.47997,0.191148483,0.054135287,3.530940601,0.000414085,0.007910614
ENSG00000002919,1081.066329,0.165673275,0.075962144,2.180997879,0.029183573,0.151172696
ENSG00000002933,1930.928769,-0.148086895,0.094464415,-1.56764741,0.116963441,0.343027397
ENSG00000003056,5502.61925,0.049556399,0.076934762,0.644135329,0.519487683,0.754638014
ENSG00000003096,1950.222776,-0.279942556,0.15854085,-1.765744008,0.077438806,0.269428133
ENSG00000003137,133.5978048,-0.537696244,0.375255461,-1.43288053,0.151891982,0.399794754
ENSG00000003147,2836.245761,-0.125468692,0.097682429,-1.284455082,0.198982771,0.464448671
ENSG00000003249,1923.849312,0.057338414,0.159745944,0.358935026,0.719643696,0.874344959
ENSG00000003393,3519.387719,0.048376644,0.067271522,0.719125167,0.472063802,0.719179851
ENSG00000003400,305.9401233,-0.476555355,0.155109509,-3.072380004,0.002123592,0.025620802
ENSG00000003402,9616.730138,-0.005550061,0.071726088,-0.077378548,0.938322406,0.975230758
ENSG00000003436,3383.911414,-0.410525573,0.158191613,-2.595115922,0.009455902,0.071583225
ENSG00000003509,645.0019234,-0.263800866,0.169804071,-1.553560313,0.120289332,0.349222674
ENSG00000003756,7467.083155,0.024135162,0.126859261,0.190251483,0.84911207,0.938821828
ENSG00000003987,83.36166381,-0.902421001,0.565298042,-1.596363218,0.110407723,0.332332125
ENSG00000003989,3656.888612,-1.129755102,0.349246995,-3.234831277,0.001217146,0.017236144
ENSG00000004059,4820.103381,0.072043161,0.076025785,0.947614832,0.343325573,0.618471296
