Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,3395.604353,-0.035123631,0.147857011,-0.23755134,0.812229095,0.976816004
ENSG00000000419,1723.57098,0.04045516,0.07980777,0.506907541,0.612219695,0.943252392
ENSG00000000457,645.3220718,-0.042044704,0.112836435,-0.372616376,0.709433983,0.961126027
ENSG00000000460,247.0230103,-0.159736758,0.163068289,-0.979569719,0.327298558,0.865882611
ENSG00000000971,341.2694827,0.405887663,0.417191296,0.972905396,0.330600323,0.86764734
ENSG00000001036,5202.481125,-0.028752533,0.078948544,-0.364193331,0.715713647,0.962529568
ENSG00000001084,2262.828267,-0.106840989,0.099112942,-1.077972127,0.281046195,0.843105613
ENSG00000001167,3397.48491,0.02771318,0.068466334,0.404770904,0.685645918,0.956827821
ENSG00000001460,682.7610496,-0.066970202,0.113679443,-0.589114442,0.555784506,0.933613126
ENSG00000001461,3743.981625,-0.088830342,0.072999028,-1.216870205,0.223653603,0.811835424
ENSG00000001497,1219.82644,0.016185786,0.07963872,0.203240158,0.838947326,0.979825393
ENSG00000001561,903.5922436,0.131422115,0.136285296,0.964316171,0.334887436,0.868252104
ENSG00000001617,53.93798681,0.027747311,0.28523224,0.097279714,0.922504266,0.989644943
ENSG00000001626,6917.376927,-0.126792691,0.134961638,-0.939472081,0.34748842,0.875045673
ENSG00000001629,5546.314577,0.025005148,0.096499131,0.259123034,0.795540313,0.973860707
ENSG00000001630,15071.61966,0.904004918,0.175836476,5.141168318,2.73E-07,0.000152363
ENSG00000001631,1678.170391,0.034294934,0.125788706,0.272639213,0.785130566,0.972828834
ENSG00000002016,636.0956882,-0.141790304,0.250393356,-0.566270232,0.571210093,0.936442298
ENSG00000002330,1286.210511,0.106967591,0.079946448,1.33799055,0.180899517,0.786426353
ENSG00000002549,1565.486939,-0.065496267,0.131857935,-0.496718431,0.619387623,0.943856442
ENSG00000002586,22299.38383,0.0016959,0.066963569,0.025325714,0.979795164,0.997260255
ENSG00000002587,147.379252,0.154591026,0.43825387,0.352743093,0.72428105,0.96483003
ENSG00000002726,94.68997604,-0.287841777,0.221604085,-1.29890104,0.193977893,0.797949621
ENSG00000002746,64.09100245,-0.132385263,0.67584199,-0.195881974,0.844702547,0.980220866
ENSG00000002822,1019.05268,-0.084191339,0.10222689,-0.823573315,0.410182044,0.897265877
ENSG00000002834,31540.47997,0.071965265,0.054183305,1.328181526,0.184118146,0.788969569
ENSG00000002919,1081.066329,0.005298311,0.077034649,0.068778284,0.945166104,0.992589313
ENSG00000002933,1930.928769,-0.263362494,0.095011909,-2.771889295,0.005573199,0.2584513
ENSG00000003056,5502.61925,-0.06497922,0.077093504,-0.84286246,0.399305371,0.893692528
ENSG00000003096,1950.222776,-0.041961997,0.158569996,-0.264627594,0.79129636,0.973758472
ENSG00000003137,133.5978048,-0.195867147,0.375320887,-0.521865833,0.601763749,0.94011552
ENSG00000003147,2836.245761,-0.087181313,0.09792257,-0.890308672,0.373300166,0.883028117
ENSG00000003249,1923.849312,-0.038230972,0.160028743,-0.238900661,0.811182613,0.976545467
ENSG00000003393,3519.387719,0.073813588,0.067458765,1.094203079,0.273865922,0.840107414
ENSG00000003400,305.9401233,-0.099482112,0.154868082,-0.642366781,0.520635063,0.925611132
ENSG00000003402,9616.730138,0.034215626,0.071812498,0.476457809,0.633748258,0.946251124
ENSG00000003436,3383.911414,0.137255775,0.15810011,0.868157362,0.385308192,0.890084786
ENSG00000003509,645.0019234,-0.044529675,0.170253435,-0.261549346,0.793668901,0.973860707
ENSG00000003756,7467.083155,-0.112296231,0.126941717,-0.884628273,0.376357153,0.885412464
ENSG00000003987,83.36166381,0.598782265,0.564242448,1.061214495,0.288592433,0.8447333
ENSG00000003989,3656.888612,-0.189014995,0.348999404,-0.54159117,0.588100176,0.937837853
ENSG00000004059,4820.103381,-0.169348874,0.076311948,-2.219165926,0.026475438,0.502994754
ENSG00000004139,1462.279191,-0.300853463,0.16352954,-1.839749943,0.065804958,0.641396238
ENSG00000004142,6020.119881,-0.108115837,0.064042576,-1.68818689,0.091375359,0.686213878
ENSG00000004399,5253.086932,0.121953283,0.147732484,0.825500791,0.409087334,0.897177076
ENSG00000004455,6156.212189,-0.202813367,0.085499199,-2.372108391,0.017686901,0.437492481
