nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000002016.18	NA	grey60
ENSG00000003756.17	NA	grey60
ENSG00000004534.15	NA	grey60
ENSG00000007392.17	NA	grey60
ENSG00000046651.16	NA	grey60
ENSG00000051009.11	NA	grey60
ENSG00000068745.15	NA	grey60
ENSG00000075826.17	NA	grey60
ENSG00000079134.13	NA	grey60
ENSG00000088448.14	NA	grey60
ENSG00000092529.26	NA	grey60
ENSG00000099622.14	NA	grey60
ENSG00000100650.16	NA	grey60
ENSG00000100836.11	NA	grey60
ENSG00000100941.9	NA	grey60
ENSG00000102904.15	NA	grey60
ENSG00000106479.11	NA	grey60
ENSG00000108474.17	NA	grey60
ENSG00000109920.13	NA	grey60
ENSG00000110721.12	NA	grey60
ENSG00000113108.20	NA	grey60
ENSG00000114841.18	NA	grey60
ENSG00000115282.21	NA	grey60
ENSG00000119760.16	NA	grey60
ENSG00000120458.13	NA	grey60
ENSG00000123411.15	NA	grey60
ENSG00000128191.17	NA	grey60
ENSG00000130684.14	NA	grey60
ENSG00000135407.11	NA	grey60
ENSG00000139636.16	NA	grey60
ENSG00000143127.13	NA	grey60
ENSG00000143442.24	NA	grey60
ENSG00000152154.12	NA	grey60
ENSG00000153291.16	NA	grey60
ENSG00000154957.14	NA	grey60
ENSG00000156042.19	NA	grey60
ENSG00000159588.15	NA	grey60
ENSG00000160679.14	NA	grey60
ENSG00000162231.14	NA	grey60
ENSG00000163482.12	NA	grey60
ENSG00000163516.14	NA	grey60
ENSG00000164011.18	NA	grey60
ENSG00000165792.18	NA	grey60
ENSG00000166261.11	NA	grey60
ENSG00000169062.15	NA	grey60
ENSG00000170322.15	NA	grey60
ENSG00000170919.16	NA	grey60
ENSG00000171456.22	NA	grey60
ENSG00000173209.23	NA	grey60
ENSG00000176444.19	NA	grey60
ENSG00000176809.11	NA	grey60
ENSG00000178761.15	NA	grey60
ENSG00000179532.13	NA	grey60
ENSG00000181666.19	NA	grey60
ENSG00000182944.18	NA	grey60
ENSG00000184465.16	NA	grey60
ENSG00000185917.14	NA	grey60
ENSG00000189007.16	NA	grey60
ENSG00000196696.14	NA	grey60
ENSG00000196757.8	NA	grey60
ENSG00000197989.15	NA	grey60
ENSG00000198169.9	NA	grey60
ENSG00000203709.14	NA	grey60
ENSG00000204311.15	NA	grey60
ENSG00000206530.11	NA	grey60
ENSG00000213139.8	NA	grey60
ENSG00000215769.8	NA	grey60
ENSG00000221978.13	NA	grey60
ENSG00000224660.2	NA	grey60
ENSG00000225697.13	NA	grey60
ENSG00000227242.4	NA	grey60
ENSG00000227953.7	NA	grey60
ENSG00000228315.12	NA	grey60
ENSG00000228393.6	NA	grey60
ENSG00000228486.11	NA	grey60
ENSG00000235194.9	NA	grey60
ENSG00000235703.7	NA	grey60
ENSG00000235706.9	NA	grey60
ENSG00000235954.9	NA	grey60
ENSG00000236901.6	NA	grey60
ENSG00000240038.8	NA	grey60
ENSG00000242600.8	NA	grey60
ENSG00000243696.5	NA	grey60
ENSG00000244701.1	NA	grey60
ENSG00000245532.11	NA	grey60
ENSG00000246922.10	NA	grey60
ENSG00000247092.9	NA	grey60
ENSG00000248019.3	NA	grey60
ENSG00000256028.2	NA	grey60
ENSG00000256433.3	NA	grey60
ENSG00000256525.8	NA	grey60
ENSG00000258461.5	NA	grey60
ENSG00000258890.8	NA	grey60
ENSG00000264112.1	NA	grey60
ENSG00000266010.4	NA	grey60
ENSG00000266086.3	NA	grey60
ENSG00000267391.7	NA	grey60
ENSG00000267940.1	NA	grey60
ENSG00000268403.3	NA	grey60
ENSG00000270933.2	NA	grey60
ENSG00000273373.1	NA	grey60
ENSG00000273559.5	NA	grey60
ENSG00000279088.2	NA	grey60
ENSG00000280306.1	NA	grey60
ENSG00000288640.1	NA	grey60
ENSG00000290007.1	NA	grey60
ENSG00000290554.1	NA	grey60
ENSG00000290571.1	NA	grey60
ENSG00000290851.1	NA	grey60
ENSG00000290927.1	NA	grey60
ENSG00000291066.1	NA	grey60
ENSG00000291082.1	NA	grey60
ENSG00000291118.1	NA	grey60
