nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000004468.13	NA	magenta
ENSG00000010671.18	NA	magenta
ENSG00000013016.16	NA	magenta
ENSG00000019169.11	NA	magenta
ENSG00000026508.21	NA	magenta
ENSG00000031081.11	NA	magenta
ENSG00000035141.9	NA	magenta
ENSG00000038945.15	NA	magenta
ENSG00000043462.13	NA	magenta
ENSG00000059377.19	NA	magenta
ENSG00000066294.15	NA	magenta
ENSG00000073754.6	NA	magenta
ENSG00000079215.15	NA	magenta
ENSG00000082397.18	NA	magenta
ENSG00000087237.12	NA	magenta
ENSG00000091106.19	NA	magenta
ENSG00000092068.21	NA	magenta
ENSG00000093072.19	NA	magenta
ENSG00000100292.18	NA	magenta
ENSG00000100368.15	NA	magenta
ENSG00000100600.15	NA	magenta
ENSG00000101265.16	NA	magenta
ENSG00000101336.18	NA	magenta
ENSG00000101347.11	NA	magenta
ENSG00000101445.10	NA	magenta
ENSG00000101916.12	NA	magenta
ENSG00000104972.16	NA	magenta
ENSG00000104974.12	NA	magenta
ENSG00000105246.6	NA	magenta
ENSG00000105383.15	NA	magenta
ENSG00000105609.17	NA	magenta
ENSG00000106066.15	NA	magenta
ENSG00000106868.17	NA	magenta
ENSG00000108219.16	NA	magenta
ENSG00000108622.11	NA	magenta
ENSG00000110077.15	NA	magenta
ENSG00000110079.19	NA	magenta
ENSG00000110324.12	NA	magenta
ENSG00000111913.20	NA	magenta
ENSG00000113555.6	NA	magenta
ENSG00000114013.16	NA	magenta
ENSG00000115165.10	NA	magenta
ENSG00000115956.10	NA	magenta
ENSG00000116701.16	NA	magenta
ENSG00000118257.17	NA	magenta
ENSG00000121281.13	NA	magenta
ENSG00000122223.13	NA	magenta
ENSG00000122862.5	NA	magenta
ENSG00000122986.14	NA	magenta
ENSG00000123338.13	NA	magenta
ENSG00000123360.12	NA	magenta
ENSG00000123700.5	NA	magenta
ENSG00000126759.14	NA	magenta
ENSG00000127507.18	NA	magenta
ENSG00000128052.10	NA	magenta
ENSG00000128594.8	NA	magenta
ENSG00000128815.20	NA	magenta
ENSG00000129226.14	NA	magenta
ENSG00000129450.9	NA	magenta
ENSG00000129657.16	NA	magenta
ENSG00000131042.15	NA	magenta
ENSG00000131238.18	NA	magenta
ENSG00000132334.17	NA	magenta
ENSG00000133561.15	NA	magenta
ENSG00000133800.9	NA	magenta
ENSG00000134061.5	NA	magenta
ENSG00000134516.20	NA	magenta
ENSG00000134955.12	NA	magenta
ENSG00000135077.10	NA	magenta
ENSG00000135362.14	NA	magenta
ENSG00000135905.21	NA	magenta
ENSG00000136011.15	NA	magenta
ENSG00000136167.15	NA	magenta
ENSG00000136235.17	NA	magenta
ENSG00000136250.12	NA	magenta
ENSG00000137509.12	NA	magenta
ENSG00000138315.13	NA	magenta
ENSG00000139567.13	NA	magenta
ENSG00000140749.9	NA	magenta
ENSG00000140848.17	NA	magenta
ENSG00000141574.8	NA	magenta
ENSG00000141968.8	NA	magenta
ENSG00000142512.15	NA	magenta
ENSG00000143119.14	NA	magenta
ENSG00000143226.16	NA	magenta
ENSG00000143344.16	NA	magenta
ENSG00000144118.14	NA	magenta
ENSG00000144668.12	NA	magenta
ENSG00000145287.11	NA	magenta
ENSG00000145569.6	NA	magenta
ENSG00000145685.14	NA	magenta
ENSG00000145708.11	NA	magenta
ENSG00000151490.15	NA	magenta
ENSG00000151702.18	NA	magenta
ENSG00000155307.19	NA	magenta
ENSG00000155465.21	NA	magenta
ENSG00000155659.15	NA	magenta
ENSG00000155926.14	NA	magenta
ENSG00000156298.13	NA	magenta
ENSG00000158869.11	NA	magenta
ENSG00000159189.13	NA	magenta
ENSG00000159399.10	NA	magenta
ENSG00000161640.15	NA	magenta
ENSG00000161921.17	NA	magenta
ENSG00000161929.15	NA	magenta
ENSG00000162511.8	NA	magenta
ENSG00000162512.16	NA	magenta
ENSG00000162692.12	NA	magenta
ENSG00000162946.24	NA	magenta
ENSG00000163131.12	NA	magenta
ENSG00000163219.12	NA	magenta
