nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000005483.23	NA	orange
ENSG00000005810.20	NA	orange
ENSG00000024048.11	NA	orange
ENSG00000038219.13	NA	orange
ENSG00000054267.22	NA	orange
ENSG00000055609.21	NA	orange
ENSG00000066933.17	NA	orange
ENSG00000075539.15	NA	orange
ENSG00000080200.10	NA	orange
ENSG00000081026.19	NA	orange
ENSG00000083168.11	NA	orange
ENSG00000089916.18	NA	orange
ENSG00000095951.17	NA	orange
ENSG00000103657.14	NA	orange
ENSG00000104067.17	NA	orange
ENSG00000104517.13	NA	orange
ENSG00000105976.16	NA	orange
ENSG00000109756.10	NA	orange
ENSG00000112282.18	NA	orange
ENSG00000112414.15	NA	orange
ENSG00000115760.16	NA	orange
ENSG00000116127.20	NA	orange
ENSG00000116539.14	NA	orange
ENSG00000118412.13	NA	orange
ENSG00000119285.11	NA	orange
ENSG00000123066.9	NA	orange
ENSG00000123636.19	NA	orange
ENSG00000124177.16	NA	orange
ENSG00000125633.11	NA	orange
ENSG00000125686.12	NA	orange
ENSG00000127914.19	NA	orange
ENSG00000128512.24	NA	orange
ENSG00000132466.20	NA	orange
ENSG00000132549.20	NA	orange
ENSG00000134313.17	NA	orange
ENSG00000134744.14	NA	orange
ENSG00000136153.20	NA	orange
ENSG00000136950.13	NA	orange
ENSG00000137177.20	NA	orange
ENSG00000138688.17	NA	orange
ENSG00000143669.16	NA	orange
ENSG00000143702.16	NA	orange
ENSG00000145868.17	NA	orange
ENSG00000149311.20	NA	orange
ENSG00000151914.22	NA	orange
ENSG00000152223.16	NA	orange
ENSG00000156650.14	NA	orange
ENSG00000157106.18	NA	orange
ENSG00000158636.17	NA	orange
ENSG00000162402.15	NA	orange
ENSG00000163625.17	NA	orange
ENSG00000163635.20	NA	orange
ENSG00000164151.12	NA	orange
ENSG00000164190.19	NA	orange
ENSG00000165671.22	NA	orange
ENSG00000166912.17	NA	orange
ENSG00000168769.14	NA	orange
ENSG00000170471.15	NA	orange
ENSG00000170653.19	NA	orange
ENSG00000170776.22	NA	orange
ENSG00000171988.20	NA	orange
ENSG00000174197.19	NA	orange
ENSG00000177463.16	NA	orange
ENSG00000180182.11	NA	orange
ENSG00000181722.18	NA	orange
ENSG00000183354.12	NA	orange
ENSG00000183530.14	NA	orange
ENSG00000186260.17	NA	orange
ENSG00000196159.14	NA	orange
ENSG00000197312.13	NA	orange
ENSG00000197603.16	NA	orange
ENSG00000198265.12	NA	orange
ENSG00000198399.16	NA	orange
ENSG00000205352.11	NA	orange
ENSG00000253729.9	NA	orange
ENSG00000257315.4	NA	orange
ENSG00000259366.3	NA	orange
