nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000005436.14	NA	purple
ENSG00000005801.18	NA	purple
ENSG00000006652.15	NA	purple
ENSG00000007923.17	NA	purple
ENSG00000008869.12	NA	purple
ENSG00000009694.14	NA	purple
ENSG00000011275.19	NA	purple
ENSG00000013441.17	NA	purple
ENSG00000053900.11	NA	purple
ENSG00000055070.17	NA	purple
ENSG00000058673.17	NA	purple
ENSG00000064933.19	NA	purple
ENSG00000066739.12	NA	purple
ENSG00000068885.15	NA	purple
ENSG00000068903.21	NA	purple
ENSG00000075292.19	NA	purple
ENSG00000077458.13	NA	purple
ENSG00000078403.17	NA	purple
ENSG00000082258.13	NA	purple
ENSG00000083097.15	NA	purple
ENSG00000083750.13	NA	purple
ENSG00000083896.13	NA	purple
ENSG00000089335.22	NA	purple
ENSG00000090989.18	NA	purple
ENSG00000095564.15	NA	purple
ENSG00000096746.18	NA	purple
ENSG00000100201.23	NA	purple
ENSG00000100280.17	NA	purple
ENSG00000100483.14	NA	purple
ENSG00000100796.18	NA	purple
ENSG00000101751.11	NA	purple
ENSG00000102710.21	NA	purple
ENSG00000104853.16	NA	purple
ENSG00000106266.11	NA	purple
ENSG00000107938.18	NA	purple
ENSG00000108774.15	NA	purple
ENSG00000108848.16	NA	purple
ENSG00000110075.15	NA	purple
ENSG00000110330.10	NA	purple
ENSG00000111300.10	NA	purple
ENSG00000111667.14	NA	purple
ENSG00000112081.17	NA	purple
ENSG00000113240.14	NA	purple
ENSG00000113649.14	NA	purple
ENSG00000114933.16	NA	purple
ENSG00000115290.11	NA	purple
ENSG00000115392.13	NA	purple
ENSG00000115464.15	NA	purple
ENSG00000115524.17	NA	purple
ENSG00000115827.14	NA	purple
ENSG00000116001.17	NA	purple
ENSG00000116754.14	NA	purple
ENSG00000117419.16	NA	purple
ENSG00000117569.20	NA	purple
ENSG00000117625.14	NA	purple
ENSG00000118518.17	NA	purple
ENSG00000119707.14	NA	purple
ENSG00000119965.13	NA	purple
ENSG00000120798.17	NA	purple
ENSG00000120832.10	NA	purple
ENSG00000120837.8	NA	purple
ENSG00000121989.15	NA	purple
ENSG00000122257.20	NA	purple
ENSG00000122435.11	NA	purple
ENSG00000122481.17	NA	purple
ENSG00000122566.22	NA	purple
ENSG00000124193.16	NA	purple
ENSG00000125814.17	NA	purple
ENSG00000126804.14	NA	purple
ENSG00000128000.17	NA	purple
ENSG00000128534.8	NA	purple
ENSG00000128699.14	NA	purple
ENSG00000131051.24	NA	purple
ENSG00000131446.17	NA	purple
ENSG00000131669.10	NA	purple
ENSG00000132424.17	NA	purple
ENSG00000132952.12	NA	purple
ENSG00000133731.10	NA	purple
ENSG00000133858.17	NA	purple
ENSG00000134186.12	NA	purple
ENSG00000134884.15	NA	purple
ENSG00000135164.19	NA	purple
ENSG00000135341.19	NA	purple
ENSG00000135720.13	NA	purple
ENSG00000137207.12	NA	purple
ENSG00000137504.15	NA	purple
ENSG00000139372.15	NA	purple
ENSG00000142784.16	NA	purple
ENSG00000146414.17	NA	purple
ENSG00000146457.16	NA	purple
ENSG00000146587.18	NA	purple
ENSG00000146963.18	NA	purple
ENSG00000147162.15	NA	purple
ENSG00000147854.17	NA	purple
ENSG00000147862.18	NA	purple
ENSG00000147894.17	NA	purple
ENSG00000148481.14	NA	purple
ENSG00000148690.12	NA	purple
ENSG00000149346.15	NA	purple
ENSG00000149357.10	NA	purple
ENSG00000152520.14	NA	purple
ENSG00000152795.18	NA	purple
ENSG00000153187.21	NA	purple
ENSG00000153914.16	NA	purple
ENSG00000156504.17	NA	purple
ENSG00000157540.22	NA	purple
ENSG00000157741.15	NA	purple
ENSG00000158411.11	NA	purple
ENSG00000159086.15	NA	purple
ENSG00000159792.10	NA	purple
ENSG00000161203.14	NA	purple
ENSG00000161547.17	NA	purple
ENSG00000162601.12	NA	purple
ENSG00000162642.14	NA	purple
ENSG00000162664.17	NA	purple
ENSG00000162694.14	NA	purple
ENSG00000163660.12	NA	purple
ENSG00000163714.18	NA	purple
ENSG00000163728.11	NA	purple
ENSG00000163867.17	NA	purple
ENSG00000164548.12	NA	purple
ENSG00000165195.16	NA	purple
ENSG00000165338.17	NA	purple
ENSG00000166012.17	NA	purple
ENSG00000166432.16	NA	purple
ENSG00000166479.10	NA	purple
ENSG00000166801.17	NA	purple
ENSG00000168876.9	NA	purple
ENSG00000169045.19	NA	purple
ENSG00000171302.17	NA	purple
ENSG00000172175.16	NA	purple
ENSG00000173275.13	NA	purple
ENSG00000174405.15	NA	purple
ENSG00000175455.16	NA	purple
ENSG00000177731.16	NA	purple
ENSG00000177853.15	NA	purple
ENSG00000179476.8	NA	purple
