nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000005243.10	NA	tan
ENSG00000010256.11	NA	tan
ENSG00000062582.14	NA	tan
ENSG00000071462.13	NA	tan
ENSG00000083845.9	NA	tan
ENSG00000087884.16	NA	tan
ENSG00000090266.13	NA	tan
ENSG00000092841.19	NA	tan
ENSG00000096080.12	NA	tan
ENSG00000100138.15	NA	tan
ENSG00000100142.16	NA	tan
ENSG00000100294.13	NA	tan
ENSG00000105193.9	NA	tan
ENSG00000105202.9	NA	tan
ENSG00000105583.11	NA	tan
ENSG00000106153.13	NA	tan
ENSG00000106245.11	NA	tan
ENSG00000106367.15	NA	tan
ENSG00000108826.16	NA	tan
ENSG00000110200.9	NA	tan
ENSG00000111639.8	NA	tan
ENSG00000111669.15	NA	tan
ENSG00000111775.3	NA	tan
ENSG00000112514.18	NA	tan
ENSG00000114383.10	NA	tan
ENSG00000114956.20	NA	tan
ENSG00000115350.12	NA	tan
ENSG00000116096.6	NA	tan
ENSG00000116288.13	NA	tan
ENSG00000117410.14	NA	tan
ENSG00000117691.10	NA	tan
ENSG00000118640.11	NA	tan
ENSG00000123415.16	NA	tan
ENSG00000124562.10	NA	tan
ENSG00000124614.17	NA	tan
ENSG00000124733.5	NA	tan
ENSG00000125356.7	NA	tan
ENSG00000125743.11	NA	tan
ENSG00000125991.21	NA	tan
ENSG00000126088.14	NA	tan
ENSG00000126267.11	NA	tan
ENSG00000126432.14	NA	tan
ENSG00000126756.12	NA	tan
ENSG00000127540.12	NA	tan
ENSG00000129559.13	NA	tan
ENSG00000130208.10	NA	tan
ENSG00000131143.10	NA	tan
ENSG00000131475.7	NA	tan
ENSG00000131495.9	NA	tan
ENSG00000134809.9	NA	tan
ENSG00000134825.16	NA	tan
ENSG00000135390.21	NA	tan
ENSG00000135441.8	NA	tan
ENSG00000135446.17	NA	tan
ENSG00000135940.7	NA	tan
ENSG00000136463.9	NA	tan
ENSG00000136930.13	NA	tan
ENSG00000136942.15	NA	tan
ENSG00000137133.11	NA	tan
ENSG00000137288.10	NA	tan
ENSG00000140264.22	NA	tan
ENSG00000141741.12	NA	tan
ENSG00000142507.10	NA	tan
ENSG00000142534.7	NA	tan
ENSG00000143314.12	NA	tan
ENSG00000143543.15	NA	tan
ENSG00000143575.16	NA	tan
ENSG00000147403.18	NA	tan
ENSG00000147684.10	NA	tan
ENSG00000148290.10	NA	tan
ENSG00000148450.13	NA	tan
ENSG00000149273.15	NA	tan
ENSG00000149932.17	NA	tan
ENSG00000158874.11	NA	tan
ENSG00000159199.14	NA	tan
ENSG00000159352.16	NA	tan
ENSG00000159377.11	NA	tan
ENSG00000161981.11	NA	tan
ENSG00000163382.13	NA	tan
ENSG00000163463.13	NA	tan
ENSG00000164405.11	NA	tan
ENSG00000164587.13	NA	tan
ENSG00000164898.13	NA	tan
ENSG00000166337.11	NA	tan
ENSG00000166595.12	NA	tan
ENSG00000166902.5	NA	tan
ENSG00000167272.11	NA	tan
ENSG00000167515.11	NA	tan
ENSG00000168002.12	NA	tan
ENSG00000168090.10	NA	tan
ENSG00000168273.8	NA	tan
ENSG00000168701.19	NA	tan
ENSG00000168894.10	NA	tan
ENSG00000169020.10	NA	tan
ENSG00000169189.17	NA	tan
ENSG00000169976.7	NA	tan
ENSG00000170291.16	NA	tan
ENSG00000170296.10	NA	tan
ENSG00000171421.13	NA	tan
ENSG00000171858.18	NA	tan
ENSG00000172301.11	NA	tan
ENSG00000172428.11	NA	tan
ENSG00000173113.7	NA	tan
ENSG00000173163.11	NA	tan
ENSG00000174547.13	NA	tan
ENSG00000175334.8	NA	tan
ENSG00000177556.12	NA	tan
ENSG00000177971.9	NA	tan
ENSG00000178449.9	NA	tan
ENSG00000178741.12	NA	tan
ENSG00000178982.10	NA	tan
ENSG00000180992.7	NA	tan
ENSG00000181817.6	NA	tan
ENSG00000181924.7	NA	tan
ENSG00000181991.16	NA	tan
ENSG00000182117.7	NA	tan
ENSG00000183172.9	NA	tan
ENSG00000183978.8	NA	tan
ENSG00000184508.12	NA	tan
ENSG00000185475.11	NA	tan
ENSG00000185608.9	NA	tan
ENSG00000187713.7	NA	tan
ENSG00000197345.13	NA	tan
ENSG00000197756.10	NA	tan
ENSG00000198258.11	NA	tan
ENSG00000198937.9	NA	tan
ENSG00000204220.12	NA	tan
ENSG00000204392.11	NA	tan
ENSG00000205155.8	NA	tan
ENSG00000205544.4	NA	tan
ENSG00000213619.11	NA	tan
ENSG00000221983.8	NA	tan
ENSG00000224877.4	NA	tan
ENSG00000228474.6	NA	tan
ENSG00000229117.9	NA	tan
ENSG00000229833.11	NA	tan
ENSG00000234906.11	NA	tan
ENSG00000241468.8	NA	tan
ENSG00000241553.13	NA	tan
ENSG00000242028.8	NA	tan
ENSG00000242372.9	NA	tan
ENSG00000242485.6	NA	tan
ENSG00000243678.12	NA	tan
ENSG00000244187.8	NA	tan
ENSG00000257727.6	NA	tan
ENSG00000266472.6	NA	tan
ENSG00000267855.6	NA	tan
ENSG00000270170.2	NA	tan
ENSG00000277791.5	NA	tan
ENSG00000283103.5	NA	tan
