nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000005007.14	NA	black
ENSG00000005339.15	NA	black
ENSG00000007047.16	NA	black
ENSG00000007516.15	NA	black
ENSG00000007545.16	NA	black
ENSG00000008441.19	NA	black
ENSG00000008710.20	NA	black
ENSG00000010327.10	NA	black
ENSG00000011451.21	NA	black
ENSG00000014164.7	NA	black
ENSG00000031823.14	NA	black
ENSG00000032444.17	NA	black
ENSG00000033627.18	NA	black
ENSG00000037280.16	NA	black
ENSG00000037757.14	NA	black
ENSG00000038532.17	NA	black
ENSG00000039523.20	NA	black
ENSG00000061938.21	NA	black
ENSG00000063169.12	NA	black
ENSG00000063245.15	NA	black
ENSG00000064300.9	NA	black
ENSG00000064932.16	NA	black
ENSG00000065000.20	NA	black
ENSG00000065526.13	NA	black
ENSG00000065717.16	NA	black
ENSG00000068137.15	NA	black
ENSG00000070047.13	NA	black
ENSG00000070413.20	NA	black
ENSG00000070444.15	NA	black
ENSG00000070814.22	NA	black
ENSG00000071564.19	NA	black
ENSG00000071894.17	NA	black
ENSG00000072062.16	NA	black
ENSG00000072518.23	NA	black
ENSG00000074370.18	NA	black
ENSG00000074660.17	NA	black
ENSG00000074855.11	NA	black
ENSG00000076201.16	NA	black
ENSG00000076826.10	NA	black
ENSG00000076928.20	NA	black
ENSG00000076944.18	NA	black
ENSG00000076984.18	NA	black
ENSG00000078699.22	NA	black
ENSG00000078814.19	NA	black
ENSG00000079313.15	NA	black
ENSG00000079432.9	NA	black
ENSG00000079805.19	NA	black
ENSG00000080845.19	NA	black
ENSG00000085644.15	NA	black
ENSG00000085872.15	NA	black
ENSG00000087274.19	NA	black
ENSG00000088247.19	NA	black
ENSG00000088256.9	NA	black
ENSG00000088888.18	NA	black
ENSG00000089820.17	NA	black
ENSG00000090006.18	NA	black
ENSG00000090061.17	NA	black
ENSG00000090372.15	NA	black
ENSG00000090534.20	NA	black
ENSG00000090565.17	NA	black
ENSG00000090924.15	NA	black
ENSG00000090975.14	NA	black
ENSG00000092199.19	NA	black
ENSG00000095066.12	NA	black
ENSG00000095370.20	NA	black
ENSG00000097007.20	NA	black
ENSG00000099331.14	NA	black
ENSG00000099364.18	NA	black
ENSG00000099365.11	NA	black
ENSG00000099381.20	NA	black
ENSG00000099814.17	NA	black
ENSG00000099904.16	NA	black
ENSG00000099991.18	NA	black
ENSG00000099995.19	NA	black
ENSG00000100065.15	NA	black
ENSG00000100106.22	NA	black
ENSG00000100139.14	NA	black
ENSG00000100241.22	NA	black
ENSG00000100243.22	NA	black
ENSG00000100299.18	NA	black
ENSG00000100345.23	NA	black
ENSG00000100425.19	NA	black
ENSG00000100429.18	NA	black
ENSG00000100554.12	NA	black
ENSG00000100599.16	NA	black
ENSG00000100982.12	NA	black
ENSG00000101986.12	NA	black
ENSG00000102858.13	NA	black
ENSG00000103126.15	NA	black
ENSG00000103197.19	NA	black
ENSG00000103199.14	NA	black
ENSG00000103249.19	NA	black
ENSG00000103335.22	NA	black
ENSG00000103495.15	NA	black
ENSG00000103549.22	NA	black
ENSG00000103653.17	NA	black
ENSG00000104866.11	NA	black
ENSG00000104880.19	NA	black
ENSG00000104885.19	NA	black
ENSG00000104897.10	NA	black
ENSG00000104946.14	NA	black
ENSG00000104964.15	NA	black
ENSG00000104967.8	NA	black
ENSG00000105063.19	NA	black
ENSG00000105204.14	NA	black
ENSG00000105298.14	NA	black
ENSG00000105321.14	NA	black
ENSG00000105323.18	NA	black
ENSG00000105325.15	NA	black
ENSG00000105357.20	NA	black
ENSG00000105429.13	NA	black
ENSG00000105520.11	NA	black
ENSG00000105556.12	NA	black
ENSG00000105662.16	NA	black
ENSG00000105722.10	NA	black
ENSG00000105726.17	NA	black
ENSG00000105732.13	NA	black
ENSG00000105738.11	NA	black
ENSG00000106290.16	NA	black
ENSG00000106948.17	NA	black
ENSG00000107263.19	NA	black
ENSG00000107331.18	NA	black
ENSG00000107816.17	NA	black
ENSG00000108175.19	NA	black
ENSG00000108509.21	NA	black
ENSG00000108557.20	NA	black
ENSG00000109111.15	NA	black
ENSG00000109118.14	NA	black
ENSG00000110046.14	NA	black
ENSG00000110697.13	NA	black
ENSG00000111077.18	NA	black
ENSG00000111321.11	NA	black
ENSG00000111676.15	NA	black
ENSG00000112787.14	NA	black
ENSG00000114353.17	NA	black
ENSG00000114867.22	NA	black
ENSG00000116604.19	NA	black
ENSG00000116649.10	NA	black
ENSG00000117153.16	NA	black
ENSG00000117713.21	NA	black
ENSG00000117984.15	NA	black
ENSG00000119242.9	NA	black
ENSG00000119522.18	NA	black
ENSG00000119574.13	NA	black
ENSG00000119596.18	NA	black
ENSG00000120896.14	NA	black
ENSG00000122390.19	NA	black
ENSG00000122512.17	NA	black
ENSG00000123143.13	NA	black
ENSG00000123384.14	NA	black
ENSG00000124313.19	NA	black
ENSG00000125089.18	NA	black
ENSG00000125503.13	NA	black
ENSG00000125534.10	NA	black
ENSG00000125648.15	NA	black
ENSG00000125651.14	NA	black
ENSG00000125741.6	NA	black
ENSG00000125817.8	NA	black
ENSG00000125844.17	NA	black
ENSG00000126243.9	NA	black
ENSG00000126461.15	NA	black
ENSG00000126464.15	NA	black
ENSG00000126705.15	NA	black
ENSG00000126934.15	NA	black
ENSG00000127418.15	NA	black
ENSG00000127616.22	NA	black
ENSG00000127663.15	NA	black
ENSG00000127666.11	NA	black
ENSG00000128283.7	NA	black
ENSG00000129250.12	NA	black
ENSG00000129351.18	NA	black
ENSG00000129911.9	NA	black
ENSG00000130158.14	NA	black
ENSG00000130175.10	NA	black
ENSG00000130382.9	NA	black
ENSG00000130402.14	NA	black
ENSG00000130475.16	NA	black
ENSG00000130479.11	NA	black
ENSG00000130584.12	NA	black
ENSG00000130589.16	NA	black
ENSG00000130590.14	NA	black
ENSG00000130669.17	NA	black
ENSG00000130702.15	NA	black
ENSG00000130749.10	NA	black
ENSG00000130758.8	NA	black
ENSG00000130772.14	NA	black
ENSG00000131398.15	NA	black
ENSG00000131653.14	NA	black
ENSG00000131759.18	NA	black
ENSG00000132005.9	NA	black
ENSG00000132024.18	NA	black
ENSG00000132361.18	NA	black
ENSG00000132478.10	NA	black
ENSG00000132510.11	NA	black
ENSG00000132613.16	NA	black
