nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000002330.14	NA	cyan
ENSG00000004059.11	NA	cyan
ENSG00000005075.16	NA	cyan
ENSG00000007255.10	NA	cyan
ENSG00000007520.4	NA	cyan
ENSG00000008382.16	NA	cyan
ENSG00000011009.11	NA	cyan
ENSG00000012061.17	NA	cyan
ENSG00000013306.16	NA	cyan
ENSG00000041988.16	NA	cyan
ENSG00000042753.12	NA	cyan
ENSG00000053501.14	NA	cyan
ENSG00000055950.17	NA	cyan
ENSG00000063177.13	NA	cyan
ENSG00000063241.8	NA	cyan
ENSG00000063854.13	NA	cyan
ENSG00000065057.9	NA	cyan
ENSG00000072506.14	NA	cyan
ENSG00000074071.15	NA	cyan
ENSG00000077348.10	NA	cyan
ENSG00000079616.14	NA	cyan
ENSG00000081692.13	NA	cyan
ENSG00000083807.10	NA	cyan
ENSG00000086504.18	NA	cyan
ENSG00000089248.7	NA	cyan
ENSG00000089693.11	NA	cyan
ENSG00000090013.11	NA	cyan
ENSG00000091640.8	NA	cyan
ENSG00000091947.10	NA	cyan
ENSG00000099203.7	NA	cyan
ENSG00000099385.12	NA	cyan
ENSG00000099795.7	NA	cyan
ENSG00000099800.8	NA	cyan
ENSG00000100116.17	NA	cyan
ENSG00000100319.13	NA	cyan
ENSG00000100348.10	NA	cyan
ENSG00000100908.14	NA	cyan
ENSG00000101400.6	NA	cyan
ENSG00000101473.17	NA	cyan
ENSG00000103152.12	NA	cyan
ENSG00000103266.11	NA	cyan
ENSG00000103363.16	NA	cyan
ENSG00000104529.19	NA	cyan
ENSG00000104679.12	NA	cyan
ENSG00000104870.13	NA	cyan
ENSG00000104872.11	NA	cyan
ENSG00000104883.8	NA	cyan
ENSG00000104886.12	NA	cyan
ENSG00000104904.12	NA	cyan
ENSG00000104979.9	NA	cyan
ENSG00000105135.16	NA	cyan
ENSG00000105258.9	NA	cyan
ENSG00000105372.8	NA	cyan
ENSG00000105379.10	NA	cyan
ENSG00000105404.11	NA	cyan
