nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000005206.17	NA	darkturquoise
ENSG00000006015.18	NA	darkturquoise
ENSG00000007080.11	NA	darkturquoise
ENSG00000007376.8	NA	darkturquoise
ENSG00000007541.17	NA	darkturquoise
ENSG00000011132.12	NA	darkturquoise
ENSG00000011304.22	NA	darkturquoise
ENSG00000015532.10	NA	darkturquoise
ENSG00000025770.19	NA	darkturquoise
ENSG00000039650.12	NA	darkturquoise
ENSG00000050820.17	NA	darkturquoise
ENSG00000060069.18	NA	darkturquoise
ENSG00000060491.17	NA	darkturquoise
ENSG00000062822.16	NA	darkturquoise
ENSG00000063176.16	NA	darkturquoise
ENSG00000064545.15	NA	darkturquoise
ENSG00000064961.19	NA	darkturquoise
ENSG00000065054.14	NA	darkturquoise
ENSG00000065268.11	NA	darkturquoise
ENSG00000067221.14	NA	darkturquoise
ENSG00000068078.20	NA	darkturquoise
ENSG00000070423.18	NA	darkturquoise
ENSG00000071626.17	NA	darkturquoise
ENSG00000071655.18	NA	darkturquoise
ENSG00000071889.17	NA	darkturquoise
ENSG00000072163.20	NA	darkturquoise
ENSG00000073169.15	NA	darkturquoise
ENSG00000073350.14	NA	darkturquoise
ENSG00000074964.17	NA	darkturquoise
ENSG00000076924.12	NA	darkturquoise
ENSG00000077454.17	NA	darkturquoise
ENSG00000077463.15	NA	darkturquoise
ENSG00000078902.16	NA	darkturquoise
ENSG00000090316.16	NA	darkturquoise
ENSG00000090447.12	NA	darkturquoise
ENSG00000095906.17	NA	darkturquoise
ENSG00000099624.8	NA	darkturquoise
ENSG00000099769.6	NA	darkturquoise
ENSG00000099804.9	NA	darkturquoise
ENSG00000099821.14	NA	darkturquoise
ENSG00000099849.15	NA	darkturquoise
ENSG00000099875.16	NA	darkturquoise
ENSG00000099889.14	NA	darkturquoise
ENSG00000099910.17	NA	darkturquoise
ENSG00000100056.12	NA	darkturquoise
ENSG00000100075.10	NA	darkturquoise
ENSG00000100258.18	NA	darkturquoise
ENSG00000100263.14	NA	darkturquoise
ENSG00000100300.18	NA	darkturquoise
ENSG00000100359.21	NA	darkturquoise
ENSG00000100399.16	NA	darkturquoise
ENSG00000100726.15	NA	darkturquoise
ENSG00000101199.13	NA	darkturquoise
ENSG00000101216.11	NA	darkturquoise
ENSG00000101220.18	NA	darkturquoise
ENSG00000101246.20	NA	darkturquoise
ENSG00000103024.8	NA	darkturquoise
ENSG00000103227.19	NA	darkturquoise
ENSG00000103245.14	NA	darkturquoise
ENSG00000103254.10	NA	darkturquoise
ENSG00000103260.9	NA	darkturquoise
ENSG00000103326.12	NA	darkturquoise
ENSG00000104518.11	NA	darkturquoise
ENSG00000104524.14	NA	darkturquoise
ENSG00000104825.17	NA	darkturquoise
ENSG00000104969.11	NA	darkturquoise
ENSG00000105248.16	NA	darkturquoise
ENSG00000105364.14	NA	darkturquoise
ENSG00000105373.19	NA	darkturquoise
ENSG00000105397.15	NA	darkturquoise
ENSG00000105401.9	NA	darkturquoise
ENSG00000105447.13	NA	darkturquoise
ENSG00000105618.14	NA	darkturquoise
ENSG00000105656.13	NA	darkturquoise
ENSG00000105699.17	NA	darkturquoise
ENSG00000105701.16	NA	darkturquoise
ENSG00000105707.15	NA	darkturquoise
ENSG00000106009.16	NA	darkturquoise
ENSG00000106211.10	NA	darkturquoise
ENSG00000106330.12	NA	darkturquoise
ENSG00000107404.21	NA	darkturquoise
ENSG00000107872.14	NA	darkturquoise
ENSG00000108784.10	NA	darkturquoise
ENSG00000109736.15	NA	darkturquoise
ENSG00000109758.9	NA	darkturquoise
ENSG00000110047.18	NA	darkturquoise
ENSG00000111325.16	NA	darkturquoise
ENSG00000115255.12	NA	darkturquoise
ENSG00000115257.15	NA	darkturquoise
ENSG00000115286.21	NA	darkturquoise
ENSG00000115694.15	NA	darkturquoise
ENSG00000115718.18	NA	darkturquoise
ENSG00000116685.17	NA	darkturquoise
ENSG00000116691.11	NA	darkturquoise
ENSG00000116809.12	NA	darkturquoise
ENSG00000118046.17	NA	darkturquoise
ENSG00000119333.12	NA	darkturquoise
ENSG00000119559.17	NA	darkturquoise
ENSG00000120913.24	NA	darkturquoise
ENSG00000121410.12	NA	darkturquoise
ENSG00000121653.11	NA	darkturquoise
ENSG00000122386.11	NA	darkturquoise
ENSG00000122490.19	NA	darkturquoise
ENSG00000122971.9	NA	darkturquoise
ENSG00000123154.12	NA	darkturquoise
ENSG00000123159.16	NA	darkturquoise
ENSG00000123453.19	NA	darkturquoise
ENSG00000123815.13	NA	darkturquoise
ENSG00000123989.15	NA	darkturquoise
ENSG00000125122.18	NA	darkturquoise
ENSG00000125520.14	NA	darkturquoise
ENSG00000125967.17	NA	darkturquoise
ENSG00000126254.12	NA	darkturquoise
ENSG00000127054.22	NA	darkturquoise
ENSG00000127220.6	NA	darkturquoise
ENSG00000127419.17	NA	darkturquoise
ENSG00000127445.14	NA	darkturquoise
ENSG00000127586.17	NA	darkturquoise
ENSG00000128309.17	NA	darkturquoise
ENSG00000129925.11	NA	darkturquoise
ENSG00000129932.10	NA	darkturquoise
ENSG00000129946.11	NA	darkturquoise
ENSG00000129968.17	NA	darkturquoise
ENSG00000130203.10	NA	darkturquoise
ENSG00000130511.16	NA	darkturquoise
ENSG00000130706.13	NA	darkturquoise
ENSG00000130733.11	NA	darkturquoise
ENSG00000130787.14	NA	darkturquoise
ENSG00000131187.11	NA	darkturquoise
ENSG00000131584.19	NA	darkturquoise
ENSG00000131591.18	NA	darkturquoise
ENSG00000132004.13	NA	darkturquoise
ENSG00000132017.11	NA	darkturquoise
ENSG00000132819.17	NA	darkturquoise
ENSG00000133265.11	NA	darkturquoise
ENSG00000133315.12	NA	darkturquoise
ENSG00000135722.9	NA	darkturquoise
ENSG00000136717.15	NA	darkturquoise
ENSG00000136877.15	NA	darkturquoise
ENSG00000136878.14	NA	darkturquoise
ENSG00000139540.12	NA	darkturquoise
ENSG00000140983.15	NA	darkturquoise
ENSG00000141505.12	NA	darkturquoise
ENSG00000141873.11	NA	darkturquoise
ENSG00000141994.16	NA	darkturquoise
ENSG00000142330.20	NA	darkturquoise
ENSG00000142409.6	NA	darkturquoise
ENSG00000142655.13	NA	darkturquoise
ENSG00000142694.7	NA	darkturquoise
ENSG00000144579.9	NA	darkturquoise
ENSG00000145214.14	NA	darkturquoise
ENSG00000147813.16	NA	darkturquoise
ENSG00000148296.7	NA	darkturquoise
ENSG00000148343.19	NA	darkturquoise
ENSG00000148362.11	NA	darkturquoise
ENSG00000149541.10	NA	darkturquoise
ENSG00000149823.10	NA	darkturquoise
ENSG00000152082.15	NA	darkturquoise
ENSG00000153443.13	NA	darkturquoise
ENSG00000157881.16	NA	darkturquoise
ENSG00000158792.16	NA	darkturquoise
ENSG00000159069.14	NA	darkturquoise
ENSG00000159692.18	NA	darkturquoise
ENSG00000160226.16	NA	darkturquoise
ENSG00000160256.14	NA	darkturquoise
ENSG00000160282.15	NA	darkturquoise
ENSG00000160325.15	NA	darkturquoise
ENSG00000160392.14	NA	darkturquoise
ENSG00000160446.19	NA	darkturquoise
ENSG00000160789.24	NA	darkturquoise
ENSG00000160867.15	NA	darkturquoise
ENSG00000160972.10	NA	darkturquoise
ENSG00000161618.10	NA	darkturquoise
ENSG00000161671.17	NA	darkturquoise
ENSG00000161677.12	NA	darkturquoise
ENSG00000161996.19	NA	darkturquoise
ENSG00000161999.13	NA	darkturquoise
ENSG00000162032.16	NA	darkturquoise
ENSG00000162066.16	NA	darkturquoise
ENSG00000162227.8	NA	darkturquoise
ENSG00000162300.13	NA	darkturquoise
ENSG00000162460.7	NA	darkturquoise
ENSG00000162585.17	NA	darkturquoise
ENSG00000162729.14	NA	darkturquoise
ENSG00000162910.19	NA	darkturquoise
ENSG00000164850.16	NA	darkturquoise
ENSG00000164896.21	NA	darkturquoise
ENSG00000164897.14	NA	darkturquoise
ENSG00000165215.6	NA	darkturquoise
ENSG00000165233.18	NA	darkturquoise
ENSG00000165644.11	NA	darkturquoise
ENSG00000165804.16	NA	darkturquoise
ENSG00000165886.5	NA	darkturquoise
ENSG00000166166.13	NA	darkturquoise
ENSG00000166183.16	NA	darkturquoise
ENSG00000166816.15	NA	darkturquoise
ENSG00000167394.13	NA	darkturquoise
ENSG00000167487.12	NA	darkturquoise
ENSG00000167543.16	NA	darkturquoise
ENSG00000167657.14	NA	darkturquoise
ENSG00000167671.12	NA	darkturquoise
ENSG00000167674.15	NA	darkturquoise
ENSG00000167700.9	NA	darkturquoise
ENSG00000167701.14	NA	darkturquoise
ENSG00000167711.14	NA	darkturquoise
ENSG00000167962.15	NA	darkturquoise
ENSG00000167965.18	NA	darkturquoise
ENSG00000167967.16	NA	darkturquoise
ENSG00000168140.5	NA	darkturquoise
ENSG00000169100.14	NA	darkturquoise
ENSG00000169220.18	NA	darkturquoise
ENSG00000169683.8	NA	darkturquoise
ENSG00000169692.14	NA	darkturquoise
ENSG00000169696.16	NA	darkturquoise
ENSG00000169718.18	NA	darkturquoise
ENSG00000169727.14	NA	darkturquoise
ENSG00000169733.12	NA	darkturquoise
ENSG00000169957.10	NA	darkturquoise
ENSG00000169972.13	NA	darkturquoise
ENSG00000170604.5	NA	darkturquoise
ENSG00000170638.10	NA	darkturquoise
ENSG00000171159.5	NA	darkturquoise
ENSG00000171222.11	NA	darkturquoise
ENSG00000171443.7	NA	darkturquoise
ENSG00000171813.14	NA	darkturquoise
ENSG00000172366.20	NA	darkturquoise
ENSG00000172482.5	NA	darkturquoise
ENSG00000172889.16	NA	darkturquoise
ENSG00000173137.12	NA	darkturquoise
ENSG00000173153.17	NA	darkturquoise
ENSG00000173156.7	NA	darkturquoise
ENSG00000173272.16	NA	darkturquoise
ENSG00000173465.8	NA	darkturquoise
ENSG00000173581.8	NA	darkturquoise
ENSG00000174177.13	NA	darkturquoise
ENSG00000174276.7	NA	darkturquoise
ENSG00000175482.9	NA	darkturquoise
ENSG00000175602.4	NA	darkturquoise
ENSG00000175634.15	NA	darkturquoise
ENSG00000175866.16	NA	darkturquoise
ENSG00000176108.9	NA	darkturquoise
ENSG00000176248.9	NA	darkturquoise
ENSG00000176619.13	NA	darkturquoise
ENSG00000176720.6	NA	darkturquoise
ENSG00000176919.13	NA	darkturquoise
ENSG00000176978.15	NA	darkturquoise
ENSG00000177045.11	NA	darkturquoise
ENSG00000177051.6	NA	darkturquoise
ENSG00000177106.17	NA	darkturquoise
ENSG00000177380.14	NA	darkturquoise
ENSG00000177595.19	NA	darkturquoise
ENSG00000177685.17	NA	darkturquoise
ENSG00000177706.9	NA	darkturquoise
ENSG00000177989.14	NA	darkturquoise
ENSG00000178605.14	NA	darkturquoise
ENSG00000178685.14	NA	darkturquoise
ENSG00000178814.17	NA	darkturquoise
ENSG00000179403.12	NA	darkturquoise
ENSG00000179526.17	NA	darkturquoise
ENSG00000179886.6	NA	darkturquoise
ENSG00000179965.12	NA	darkturquoise
ENSG00000180089.6	NA	darkturquoise
ENSG00000180767.11	NA	darkturquoise
ENSG00000180902.18	NA	darkturquoise
ENSG00000181029.9	NA	darkturquoise
ENSG00000181396.13	NA	darkturquoise
ENSG00000182087.14	NA	darkturquoise
ENSG00000182327.8	NA	darkturquoise
ENSG00000182809.11	NA	darkturquoise
ENSG00000183048.12	NA	darkturquoise
ENSG00000183751.16	NA	darkturquoise
ENSG00000184281.15	NA	darkturquoise
ENSG00000184436.12	NA	darkturquoise
ENSG00000184897.7	NA	darkturquoise
ENSG00000184967.7	NA	darkturquoise
ENSG00000184990.13	NA	darkturquoise
ENSG00000185024.18	NA	darkturquoise
ENSG00000185049.16	NA	darkturquoise
ENSG00000185122.11	NA	darkturquoise
ENSG00000185347.19	NA	darkturquoise
ENSG00000185504.17	NA	darkturquoise
ENSG00000185507.21	NA	darkturquoise
ENSG00000185522.9	NA	darkturquoise
ENSG00000185803.12	NA	darkturquoise
ENSG00000186350.12	NA	darkturquoise
ENSG00000186654.21	NA	darkturquoise
ENSG00000187017.18	NA	darkturquoise
ENSG00000187045.19	NA	darkturquoise
ENSG00000187609.16	NA	darkturquoise
ENSG00000187961.15	NA	darkturquoise
ENSG00000188747.9	NA	darkturquoise
ENSG00000188833.10	NA	darkturquoise
ENSG00000188976.11	NA	darkturquoise
ENSG00000188986.9	NA	darkturquoise
ENSG00000197070.14	NA	darkturquoise
ENSG00000197530.13	NA	darkturquoise
ENSG00000197562.10	NA	darkturquoise
ENSG00000197785.14	NA	darkturquoise
ENSG00000197858.12	NA	darkturquoise
ENSG00000198171.13	NA	darkturquoise
ENSG00000198276.16	NA	darkturquoise
ENSG00000198355.5	NA	darkturquoise
ENSG00000198816.7	NA	darkturquoise
ENSG00000203896.10	NA	darkturquoise
ENSG00000204099.12	NA	darkturquoise
ENSG00000204237.5	NA	darkturquoise
ENSG00000204498.11	NA	darkturquoise
ENSG00000204653.10	NA	darkturquoise
ENSG00000204673.11	NA	darkturquoise
ENSG00000205436.8	NA	darkturquoise
ENSG00000213339.9	NA	darkturquoise
ENSG00000213563.7	NA	darkturquoise
ENSG00000224051.7	NA	darkturquoise
ENSG00000228300.14	NA	darkturquoise
ENSG00000232434.3	NA	darkturquoise
ENSG00000233493.4	NA	darkturquoise
ENSG00000238227.8	NA	darkturquoise
ENSG00000241370.6	NA	darkturquoise
ENSG00000242612.7	NA	darkturquoise
ENSG00000242802.9	NA	darkturquoise
ENSG00000250571.7	NA	darkturquoise
ENSG00000261236.8	NA	darkturquoise
ENSG00000266962.3	NA	darkturquoise
ENSG00000268230.5	NA	darkturquoise
ENSG00000269313.6	NA	darkturquoise
ENSG00000273047.1	NA	darkturquoise
ENSG00000273154.3	NA	darkturquoise
ENSG00000276045.4	NA	darkturquoise
ENSG00000286264.2	NA	darkturquoise
ENSG00000291316.1	NA	darkturquoise
