nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000004779.10	NA	skyblue
ENSG00000008324.12	NA	skyblue
ENSG00000037241.7	NA	skyblue
ENSG00000085871.9	NA	skyblue
ENSG00000090263.16	NA	skyblue
ENSG00000100387.9	NA	skyblue
ENSG00000109390.13	NA	skyblue
ENSG00000111843.14	NA	skyblue
ENSG00000114125.14	NA	skyblue
ENSG00000115541.11	NA	skyblue
ENSG00000119013.10	NA	skyblue
ENSG00000119705.10	NA	skyblue
ENSG00000124172.10	NA	skyblue
ENSG00000127184.13	NA	skyblue
ENSG00000127922.10	NA	skyblue
ENSG00000129235.11	NA	skyblue
ENSG00000129562.11	NA	skyblue
ENSG00000131174.7	NA	skyblue
ENSG00000133983.16	NA	skyblue
ENSG00000134248.14	NA	skyblue
ENSG00000137210.14	NA	skyblue
ENSG00000138495.7	NA	skyblue
ENSG00000143977.14	NA	skyblue
ENSG00000150779.12	NA	skyblue
ENSG00000154723.13	NA	skyblue
ENSG00000156411.10	NA	skyblue
ENSG00000156467.10	NA	skyblue
ENSG00000156928.5	NA	skyblue
ENSG00000163319.11	NA	skyblue
ENSG00000164919.11	NA	skyblue
ENSG00000165502.7	NA	skyblue
ENSG00000167283.9	NA	skyblue
ENSG00000167863.12	NA	skyblue
ENSG00000170860.4	NA	skyblue
ENSG00000172586.8	NA	skyblue
ENSG00000173436.15	NA	skyblue
ENSG00000173660.12	NA	skyblue
ENSG00000173915.16	NA	skyblue
ENSG00000175193.14	NA	skyblue
ENSG00000175768.13	NA	skyblue
ENSG00000183648.11	NA	skyblue
ENSG00000184076.13	NA	skyblue
ENSG00000189043.10	NA	skyblue
ENSG00000196262.15	NA	skyblue
ENSG00000213246.7	NA	skyblue
ENSG00000214736.8	NA	skyblue
ENSG00000232388.5	NA	skyblue
ENSG00000241837.7	NA	skyblue
ENSG00000254999.4	NA	skyblue
ENSG00000272047.4	NA	skyblue
ENSG00000273611.5	NA	skyblue
